Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team,URL_Tournament
1969,Boston-2,"Boston, United States",1969.08.16,128,0,Outdoor Grass,"$20,000",Stan Smith,,,https://www.atptour.com/en/scores/archive/boston/417/1969/results
1969,Newport,"Newport, United States",1969.08.20,8,0,Outdoor Grass,"$10,000",Tom Okker,,,https://www.atptour.com/en/scores/archive/newport/9291/1969/results
1969,Baltimore,"Baltimore, United States",1969.08.21,6,0,Outdoor Grass,"$3,350",Rod Laver,,,https://www.atptour.com/en/scores/archive/baltimore/9293/1969/results
1969,US Open,"New York, United States",1969.08.27,128,64,Outdoor Grass,"$105,000",Rod Laver,Ken Rosewall Fred Stolle,,https://www.atptour.com/en/scores/archive/us-open/560/1969/results
1969,Chicago,"Chicago, United States",1969.09.08,16,0,Indoor Carpet,"$25,000",Ken Rosewall,,,https://www.atptour.com/en/scores/archive/chicago/818/1969/results
1969,Atlanta,"Atlanta, United States",1969.09.12,8,0,Outdoor Hard,"$10,000",Earl Butch Buchholz,,,https://www.atptour.com/en/scores/archive/atlanta/412/1969/results
1969,Los Angeles-2,"Los Angeles, United States",1969.09.20,64,32,Outdoor Hard,"$24,500",Richard Pancho Gonzales,Richard Pancho Gonzales Ron Holmberg,,https://www.atptour.com/en/scores/archive/los-angeles/423/1969/results
1969,Berkeley,"Berkeley, United States",1969.09.29,64,0,Outdoor Hard,"$16,500",Stan Smith,,,https://www.atptour.com/en/scores/archive/berkeley/424/1969/results
1969,Tucson,"Tucson, United States",1969.10.03,8,0,Outdoor Hard,"$10,000",Tony Roche,,,https://www.atptour.com/en/scores/archive/tucson/6833/1969/results
1969,Midland,"Midland, United States",1969.10.03,4,0,Outdoor Hard,"$6,000",Ken Rosewall,,,https://www.atptour.com/en/scores/archive/midland/6832/1969/results
1969,Las Vegas,"Las Vegas, United States",1969.10.06,32,0,Outdoor Hard,"$40,000",Richard Pancho Gonzales,,,https://www.atptour.com/en/scores/archive/las-vegas/413/1969/results
1969,Denver,"Denver, United States",1969.10.17,6,0,Indoor Hard,"$11,000",Ilie Nastase,,,https://www.atptour.com/en/scores/archive/denver/389/1969/results
1969,Cologne,"Cologne, Germany",1969.10.18,8,0,Indoor Hard,"$12,500",Andres Gimeno,,,https://www.atptour.com/en/scores/archive/cologne/332/1969/results
1969,Barcelona-2,"Barcelona, Spain",1969.11.07,4,0,Outdoor Clay,"$6,000",Andres Gimeno,,,https://www.atptour.com/en/scores/archive/barcelona/9294/1969/results
1969,Paris,"Paris, France",1969.11.07,32,16,Indoor Carpet,,Tom Okker,,,https://www.atptour.com/en/scores/archive/paris/7302/1969/results
1969,Buenos Aires,"Buenos Aires, Argentina",1969.11.10,64,32,Outdoor Clay,"$10,000",Francois Jauffret,Patricio Cornejo Jaime Fillol Sr.,,https://www.atptour.com/en/scores/archive/buenos-aires/303/1969/results
1969,Vienna,"Vienna, Austria",1969.11.13,8,0,Indoor Hard,"$11,500",Tony Roche,,,https://www.atptour.com/en/scores/archive/vienna/9330/1969/results
1969,London-4,"London, Great Britain",1969.11.13,8,0,Indoor Carpet,$500,Mark Cox,,,https://www.atptour.com/en/scores/archive/london/2016/1969/results
1969,Wembley,"Wembley, Great Britain",1969.11.17,32,0,Indoor Carpet,"$36,000",Rod Laver,,,https://www.atptour.com/en/scores/archive/wembley/430/1969/results
1969,Stockholm,"Stockholm, Sweden",1969.11.24,32,16,Indoor Hard,"$26,000",Nikola Pilic,Roy Emerson Rod Laver,,https://www.atptour.com/en/scores/archive/stockholm/429/1969/results
1969,Brisbane,"Brisbane, Australia",1969.12.01,64,0,Outdoor Grass,,Ray Ruffels,,,https://www.atptour.com/en/scores/archive/brisbane/9341/1969/results
1969,New Orleans,"New Orleans, United States",1969.12.26,8,0,Indoor Carpet,"$4,200",Cliff Richey,,,https://www.atptour.com/en/scores/archive/new-orleans/9278/1969/results
1969,Adelaide,"Adelaide, Australia",1969.12.29,64,0,Outdoor Grass,,,,,https://www.atptour.com/en/scores/archive/adelaide/7308/1969/results
1970,Australian Round Robin,Australia,1970.01.04,5,0,Outdoor Grass,"$10,000",Tony Roche,,,https://www.atptour.com/en/scores/archive/australian-round-robin/9290/1970/results
1970,Melbourne,"Melbourne, Australia",1970.01.10,64,0,Outdoor Grass,"$12,000",John Newcombe,,,https://www.atptour.com/en/scores/archive/melbourne/3936/1970/results
1970,Australian Open,"Sydney, Australia",1970.01.19,64,32,Outdoor Grass,"$12,000",Arthur Ashe,Robert Lutz Stan Smith,,https://www.atptour.com/en/scores/archive/australian-open/580/1970/results
1970,Auckland,"Auckland, New Zealand",1970.01.26,32,0,Outdoor Grass,"$11,000",Roger Taylor,,,https://www.atptour.com/en/scores/archive/auckland/301/1970/results
1970,Omaha,"Omaha, United States",1970.01.28,16,0,Indoor Hard,"$10,000",Stan Smith,,,https://www.atptour.com/en/scores/archive/omaha/2036/1970/results
1970,Philadelphia,"Philadelphia, United States",1970.02.02,64,32,Indoor Carpet,"$50,000",Rod Laver,Ilie Nastase Ion Tiriac,,https://www.atptour.com/en/scores/archive/philadelphia/401/1970/results
1970,New York,"New York, United States",1970.02.09,8,0,Indoor Carpet,"$7,500",Manuel Santana,,,https://www.atptour.com/en/scores/archive/new-york/2058/1970/results
1970,Hollywood,"Hollywood, United States",1970.02.12,8,0,Outdoor Clay,"$10,000",Ken Rosewall,,,https://www.atptour.com/en/scores/archive/hollywood/681/1970/results
1970,Richmond,"Richmond, United States",1970.02.13,8,0,Indoor Carpet,"$12,500",Arthur Ashe,,,https://www.atptour.com/en/scores/archive/richmond/802/1970/results
1970,Salisbury,"Salisbury, United States",1970.02.16,64,0,Indoor Hard,"$50,000",Ilie Nastase,,,https://www.atptour.com/en/scores/archive/salisbury/355/1970/results
1970,Corpus Christi,"Corpus Christi, United States",1970.02.20,8,0,Outdoor Hard,"$10,000",Ken Rosewall,,,https://www.atptour.com/en/scores/archive/corpus-christi/6816/1970/results
1970,Macon,"Macon, United States",1970.02.23,32,0,Indoor Carpet,"$15,000",Cliff Richey,,,https://www.atptour.com/en/scores/archive/macon/2066/1970/results
1970,Los Angeles-1,"Los Angeles, United States",1970.02.25,8,0,Indoor Carpet,"$10,000",Dennis Ralston,,,https://www.atptour.com/en/scores/archive/los-angeles/6811/1970/results
1970,Hampton,"Hampton, United States",1970.03.02,32,0,Indoor Carpet,"$25,000",Stan Smith,,,https://www.atptour.com/en/scores/archive/hampton/657/1970/results
1970,London-1,"London, Great Britain",1970.03.04,16,0,Indoor Carpet,"$24,000",Marty Riessen,,,https://www.atptour.com/en/scores/archive/london/6812/1970/results
1970,WCT Aetna World Cup,"Cambridge, United States",1970.03.09,5,0,Indoor Clay,"$20,000",,,,https://www.atptour.com/en/scores/archive/cambridge/9205/1970/results
1970,Caracas,"Caracas, Venezuela",1970.03.09,32,0,Outdoor Hard,,Tom Gorman,,,https://www.atptour.com/en/scores/archive/caracas/344/1970/results
1970,Sydney,"Sydney, Australia",1970.03.16,32,0,Outdoor Grass,"$25,000",Rod Laver,,,https://www.atptour.com/en/scores/archive/sydney/3941/1970/results
1970,Barranquilla,"Barranquilla, Colombia",1970.03.16,64,0,Outdoor Clay,"$10,000",Zeljko Franulovic,,,https://www.atptour.com/en/scores/archive/barranquilla/3940/1970/results
1970,Curacao,"Willemstad, Curacao",1970.03.23,32,0,Outdoor Hard,"$6,500",Gerald Battrick,,,https://www.atptour.com/en/scores/archive/willemstad/9277/1970/results
1970,Johannesburg,"Johannesburg, South Africa",1970.03.24,128,0,Outdoor Hard,"$35,000",Rod Laver,,,https://www.atptour.com/en/scores/archive/johannesburg/426/1970/results
1970,Jacksonville,"Jacksonville, United States",1970.03.25,32,0,Outdoor Clay,"$8,000",Arthur Ashe,,,https://www.atptour.com/en/scores/archive/jacksonville/2047/1970/results
1970,San Juan,"San Juan, Puerto Rico",1970.03.30,64,0,Outdoor Hard,"$10,000",Arthur Ashe,,,https://www.atptour.com/en/scores/archive/san-juan/6817/1970/results
1970,Durban,"Durban, South Africa",1970.04.06,64,0,Outdoor Hard,"$12,500",Bob Hewitt,,,https://www.atptour.com/en/scores/archive/durban/260/1970/results
1970,St. Petersburg,"St. Petersburg, United States",1970.04.06,64,0,Outdoor Clay,"$6,500",Jan Kodes,,,https://www.atptour.com/en/scores/archive/st-petersburg/6818/1970/results
1970,Kingston,"Kingston, Jamaica",1970.04.06,32,0,Outdoor Hard,"$6,000",Christian Kuhnke,,,https://www.atptour.com/en/scores/archive/kingston/9204/1970/results
1970,Monte Carlo,"Monte Carlo, Monaco",1970.04.13,64,32,Outdoor Clay,"$17,000",Zeljko Franulovic,Marty Riessen Roger Taylor,,https://www.atptour.com/en/scores/archive/monte-carlo/410/1970/results
1970,Charlotte,"Charlotte, United States",1970.04.13,32,0,Outdoor Clay,"$13,500",Cliff Richey,,,https://www.atptour.com/en/scores/archive/charlotte/436/1970/results
1970,Rome,"Rome, Italy",1970.04.20,32,32,Outdoor Clay,"$28,000",Ilie Nastase,Ilie Nastase Ion Tiriac,,https://www.atptour.com/en/scores/archive/rome/416/1970/results
1970,Houston,"Houston, United States",1970.04.20,32,0,Outdoor Clay,"$25,000",Clark Graebner,,,https://www.atptour.com/en/scores/archive/houston/405/1970/results
1970,Dallas,"Dallas, United States",1970.04.21,32,0,Indoor Carpet,"$25,000",Andres Gimeno,,,https://www.atptour.com/en/scores/archive/dallas/388/1970/results
1970,Bournemouth,"Bournemouth, Great Britain",1970.04.27,32,0,Outdoor Clay,"$24,000",Mark Cox,,,https://www.atptour.com/en/scores/archive/bournemouth/347/1970/results
1970,Kansas City,"Kansas City, United States",1970.05.01,8,0,Outdoor Hard,"$7,500",Arthur Ashe,,,https://www.atptour.com/en/scores/archive/kansas-city/9238/1970/results
1970,Atlanta,"Atlanta, United States",1970.05.06,16,0,Outdoor Hard,"$25,000",Tom Okker,,,https://www.atptour.com/en/scores/archive/atlanta/412/1970/results
1970,Sacramento,"Sacramento, United States",1970.05.07,16,0,Outdoor Hard,"$16,500",Arthur Ashe,,,https://www.atptour.com/en/scores/archive/sacramento/654/1970/results
1970,Berlin,"Berlin, Germany",1970.05.11,64,0,Outdoor Clay,"$15,000",Georges Goven,,,https://www.atptour.com/en/scores/archive/berlin/9240/1970/results
1970,Brussels,"Brussels, Belgium",1970.05.11,64,0,Outdoor Clay,"$10,000",Tom Okker,,,https://www.atptour.com/en/scores/archive/brussels/406/1970/results
1970,Las Vegas,"Las Vegas, United States",1970.05.13,16,0,Outdoor Hard,"$47,000",Richard Pancho Gonzales,,,https://www.atptour.com/en/scores/archive/las-vegas/413/1970/results
1970,Roland Garros,"Paris, France",1970.05.25,128,128,Outdoor Clay,"$75,000",Jan Kodes,Ilie Nastase Ion Tiriac,,https://www.atptour.com/en/scores/archive/roland-garros/520/1970/results
1970,St. Louis,"St. Louis, United States",1970.05.27,32,16,Outdoor Hard,"$30,000",Rod Laver,Andres Gimeno John Newcombe,,https://www.atptour.com/en/scores/archive/st-louis/652/1970/results
1970,Manchester,"Manchester, Great Britain",1970.06.01,64,8,Outdoor Grass,"$1,500",Robert Lutz,,,https://www.atptour.com/en/scores/archive/manchester/8025/1970/results
1970,Casablanca,"Casablanca, Morocco",1970.06.02,16,16,Outdoor Clay,"$15,000",John Newcombe,,,https://www.atptour.com/en/scores/archive/casablanca/2063/1970/results
1970,Bristol,"Bristol, Great Britain",1970.06.08,32,0,Outdoor Grass,"$17,000",Nikola Pilic,,,https://www.atptour.com/en/scores/archive/bristol/313/1970/results
1970,Beckenham,"Beckenham, Great Britain",1970.06.08,64,0,Outdoor Grass,,Clark Graebner,,,https://www.atptour.com/en/scores/archive/beckenham/7310/1970/results
1970,London / Queen's Club,"London, Great Britain",1970.06.15,64,32,Outdoor Grass,"$7,500",Rod Laver,Tom Okker Marty Riessen,,https://www.atptour.com/en/scores/archive/london/311/1970/results
1970,Eastbourne,"Eastbourne, Great Britain",1970.06.15,32,16,Outdoor Grass,"$6,000",Ken Rosewall,,,https://www.atptour.com/en/scores/archive/eastbourne/2049/1970/results
1970,Wimbledon,"London, Great Britain",1970.06.22,128,64,Outdoor Grass,"$64,000",John Newcombe,John Newcombe Tony Roche,,https://www.atptour.com/en/scores/archive/wimbledon/540/1970/results
1970,Bastad,"Bastad, Sweden",1970.07.06,32,32,Outdoor Clay,"$25,000",Dick Crealy,Dick Crealy Allan Stone,,https://www.atptour.com/en/scores/archive/bastad/316/1970/results
1970,Dublin,"Dublin, Ireland",1970.07.06,32,0,Outdoor Grass,"$8,000",Tony Roche,,,https://www.atptour.com/en/scores/archive/dublin/2029/1970/results
1970,Newport-1,"Newport, Great Britain",1970.07.06,64,0,Outdoor Grass,"$8,000",Ken Rosewall,,,https://www.atptour.com/en/scores/archive/newport/2050/1970/results
1970,Washington,"Washington, United States",1970.07.13,64,32,Outdoor Clay,"$35,000",Cliff Richey,Bob Hewitt Frew McMillan,,https://www.atptour.com/en/scores/archive/washington/418/1970/results
1970,Gstaad,"Gstaad, Switzerland",1970.07.13,32,16,Outdoor Clay,"$25,000",Tony Roche,Cliff Drysdale Roger Taylor,,https://www.atptour.com/en/scores/archive/gstaad/314/1970/results
1970,Hoylake,"Hoylake, Great Britain",1970.07.13,64,0,Outdoor Grass,"$8,000",John Newcombe,,,https://www.atptour.com/en/scores/archive/hoylake/6830/1970/results
1970,Tennis Champions Classic,United States,1970.07.16,9,0,Indoor Carpet,"$200,000",Rod Laver,,,https://www.atptour.com/en/scores/archive/tennis-champions-classic/9289/1970/results
1970,Cincinnati,"Cincinnati, United States",1970.07.20,64,32,Outdoor Clay,"$21,000",Ken Rosewall,Ilie Nastase Ion Tiriac,,https://www.atptour.com/en/scores/archive/cincinnati/422/1970/results
1970,Leicester,"Leicester, Great Britain",1970.07.20,16,0,Outdoor Grass,"$6,000",Tom Okker,,,https://www.atptour.com/en/scores/archive/leicester/6831/1970/results
1970,Indianapolis,"Indianapolis, United States",1970.07.27,64,32,Outdoor Clay,"$40,000",Cliff Richey,Arthur Ashe Clark Graebner,,https://www.atptour.com/en/scores/archive/indianapolis/717/1970/results
1970,Hilversum,"Hilversum, Netherlands",1970.07.27,64,32,Outdoor Clay,"$9,000",Tom Okker,Bill Bowrey Owen Davidson,,https://www.atptour.com/en/scores/archive/hilversum/317/1970/results
1970,Louisville,"Louisville, United States",1970.07.28,16,16,Outdoor Clay,"$25,000",Rod Laver,John Newcombe Tony Roche,,https://www.atptour.com/en/scores/archive/louisville/663/1970/results
1970,Boston,"Boston, United States",1970.08.03,32,16,Outdoor Hard,"$50,000",Tony Roche,Roy Emerson Rod Laver,,https://www.atptour.com/en/scores/archive/boston/417/1970/results
1970,Munich,"Munich, Germany",1970.08.03,32,0,Outdoor Clay,"$21,000",Ion Tiriac,,,https://www.atptour.com/en/scores/archive/munich/308/1970/results
1970,Toronto,"Toronto, Canada",1970.08.10,32,16,Outdoor Clay,"$20,000",Rod Laver,Bill Bowrey Marty Riessen,,https://www.atptour.com/en/scores/archive/toronto/421/1970/results
1970,Hamburg,"Hamburg, Germany",1970.08.10,64,32,Outdoor Clay,"$18,000",Tom Okker,Bob Hewitt Frew McMillan,,https://www.atptour.com/en/scores/archive/hamburg/414/1970/results
1970,Columbus,"Columbus, United States",1970.08.14,8,0,Outdoor Hard,"$12,000",Robert Lutz,,,https://www.atptour.com/en/scores/archive/columbus/343/1970/results
1970,Haverford,"Haverford, United States",1970.08.17,64,32,Outdoor Grass,"$10,000",Ray Ruffels,Bill Bowrey Ray Ruffels,,https://www.atptour.com/en/scores/archive/haverford/2030/1970/results
1970,Kitzbuhel,"Kitzbuhel, Austria",1970.08.17,64,64,Outdoor Clay,,Zeljko Franulovic,John Alexander Phil Dent,,https://www.atptour.com/en/scores/archive/kitzbuhel/319/1970/results
1970,Fort Worth,"Fort Worth, United States",1970.08.19,16,0,Outdoor Hard,"$22,500",Rod Laver,,,https://www.atptour.com/en/scores/archive/fort-worth/653/1970/results
1970,South Orange,"South Orange, United States",1970.08.24,64,32,Outdoor Grass,"$17,500",Rod Laver,Patricio Cornejo Jaime Fillol Sr.,,https://www.atptour.com/en/scores/archive/south-orange/707/1970/results
1970,Newport-2,"Newport, United States",1970.08.26,8,0,Outdoor Grass,"$10,000",Marty Riessen,,,https://www.atptour.com/en/scores/archive/newport/9291/1970/results
1970,US Open,"New York, United States",1970.09.02,128,64,Outdoor Grass,"$115,000",Ken Rosewall,Pierre Barthes Nikola Pilic,,https://www.atptour.com/en/scores/archive/us-open/560/1970/results
1970,Los Angeles-2,"Los Angeles, United States",1970.09.21,64,32,Outdoor Hard,"$57,500",Rod Laver,Tom Okker Marty Riessen,,https://www.atptour.com/en/scores/archive/los-angeles/423/1970/results
1970,Berkeley,"Berkeley, United States",1970.09.28,64,32,Outdoor Hard,"$22,000",Arthur Ashe,Robert Lutz Stan Smith,,https://www.atptour.com/en/scores/archive/berkeley/424/1970/results
1970,Vancouver,"Vancouver, Canada",1970.09.29,16,0,Indoor Carpet,"$40,000",Rod Laver,,,https://www.atptour.com/en/scores/archive/vancouver/2048/1970/results
1970,Denver,"Denver, United States",1970.10.07,8,0,Indoor Hard,"$16,500",Arthur Ashe,,,https://www.atptour.com/en/scores/archive/denver/389/1970/results
1970,Midland,"Midland, United States",1970.10.08,8,0,Outdoor Carpet,"$15,000",Roger Taylor,,,https://www.atptour.com/en/scores/archive/midland/6832/1970/results
1970,Phoenix,"Phoenix, United States",1970.10.12,32,16,Outdoor Hard,"$25,000",Stan Smith,Dick Crealy Ray Ruffels,,https://www.atptour.com/en/scores/archive/phoenix/2067/1970/results
1970,Tucson,"Tucson, United States",1970.10.15,16,0,Outdoor Hard,"$15,000",Marty Riessen,,,https://www.atptour.com/en/scores/archive/tucson/6833/1970/results
1970,Barcelona,"Barcelona, Spain",1970.10.19,64,32,Outdoor Clay,"$28,000",Manuel Santana,,,https://www.atptour.com/en/scores/archive/barcelona/425/1970/results
1970,Buenos Aires,"Buenos Aires, Argentina",1970.11.02,32,16,Outdoor Clay,"$25,000",Zeljko Franulovic,Bob Carmichael Ray Ruffels,,https://www.atptour.com/en/scores/archive/buenos-aires/303/1970/results
1970,Paris,"Paris, France",1970.11.09,32,16,Indoor Carpet,"$31,000",Arthur Ashe,,,https://www.atptour.com/en/scores/archive/paris/7302/1970/results
1970,Brisbane,"Brisbane, Australia",1970.11.09,64,0,Outdoor Grass,,Bob Giltinan,,,https://www.atptour.com/en/scores/archive/brisbane/9341/1970/results
1970,London-3,"London, Great Britain",1970.11.12,8,0,Indoor Carpet,"$6,000",John Alexander,,,https://www.atptour.com/en/scores/archive/london/2016/1970/results
1970,Wembley,"Wembley, Great Britain",1970.11.16,32,16,Indoor Carpet,"$42,000",Rod Laver,,,https://www.atptour.com/en/scores/archive/wembley/430/1970/results
1970,Stockholm,"Stockholm, Sweden",1970.11.23,32,16,Indoor Hard,"$35,000",Stan Smith,Arthur Ashe Stan Smith,,https://www.atptour.com/en/scores/archive/stockholm/429/1970/results
1970,Masters,"Tokyo, Japan",1970.12.07,6,3,Indoor Carpet,"$50,000",Stan Smith,,,https://www.atptour.com/en/scores/archive/masters/605/1970/results
1970,Masters Doubles,"Tokyo, Japan",1970.12.07,0,3,Indoor Carpet,"$50,000",,Arthur Ashe Stan Smith,,https://www.atptour.com/en/scores/archive/masters-doubles/602/1970/results
1970,Adelaide,"Adelaide, Australia",1970.12.19,64,0,Outdoor Grass,"$2,000",Alex Metreveli,,,https://www.atptour.com/en/scores/archive/adelaide/7308/1970/results
1970,New Orleans,"New Orleans, United States",1970.12.26,8,0,Indoor Carpet,"$10,000",Erik Van Dillen,,,https://www.atptour.com/en/scores/archive/new-orleans/9278/1970/results
1971,Sydney,"Sydney, Australia",1971.01.11,64,16,Outdoor Grass,"$2,000",Phil Dent,John Alexander Phil Dent,,https://www.atptour.com/en/scores/archive/sydney/338/1971/results
1971,Melbourne,"Melbourne, Australia",1971.01.23,64,0,Outdoor Grass,"$7,500",Alex Metreveli,,,https://www.atptour.com/en/scores/archive/melbourne/3936/1971/results
1971,Omaha,"Omaha, United States",1971.01.25,16,0,Indoor Carpet,"$15,000",Ilie Nastase,,,https://www.atptour.com/en/scores/archive/omaha/2036/1971/results
1971,Richmond,"Richmond, United States",1971.02.01,16,16,Indoor Carpet,"$20,000",Ilie Nastase,,,https://www.atptour.com/en/scores/archive/richmond/802/1971/results
1971,Washington-1,"Washington, United States",1971.02.04,16,0,Indoor Carpet,"$6,500",Jaime Fillol Sr.,,,https://www.atptour.com/en/scores/archive/washington/9211/1971/results
1971,Philadelphia WCT,"Philadelphia, United States",1971.02.09,32,16,Indoor Carpet,"$50,000",John Newcombe,,,https://www.atptour.com/en/scores/archive/philadelphia/401/1971/results
1971,New York,"New York, United States",1971.02.09,32,16,Indoor Carpet,"$30,000",Zeljko Franulovic,Juan Gisbert Sr Manuel Orantes,,https://www.atptour.com/en/scores/archive/new-york/2058/1971/results
1971,Salisbury,"Salisbury, United States",1971.02.14,64,32,Indoor Carpet,"$50,000",Clark Graebner,Juan Gisbert Sr Manuel Orantes,,https://www.atptour.com/en/scores/archive/salisbury/355/1971/results
1971,Macon,"Macon, United States",1971.02.23,64,32,Indoor Carpet,"$25,000",Zeljko Franulovic,Clark Graebner Thomaz Koch,,https://www.atptour.com/en/scores/archive/macon/2066/1971/results
1971,London-1,"London, Great Britain",1971.02.26,32,16,Indoor Carpet,"$30,000",Rod Laver,,,https://www.atptour.com/en/scores/archive/london/262/1971/results
1971,Hampton,"Hampton, United States",1971.03.02,32,16,Indoor Carpet,"$35,000",Ilie Nastase,Ilie Nastase Ion Tiriac,,https://www.atptour.com/en/scores/archive/hampton/657/1971/results
1971,Auckland,"Auckland, New Zealand",1971.03.03,32,16,Outdoor Grass,"$12,500",Bob Carmichael,Bob Carmichael Ray Ruffels,,https://www.atptour.com/en/scores/archive/auckland/301/1971/results
1971,Australian Open,"Sydney, Australia",1971.03.07,64,32,Outdoor Grass,"$50,000",Ken Rosewall,John Newcombe Tony Roche,,https://www.atptour.com/en/scores/archive/australian-open/580/1971/results
1971,Caracas,"Caracas, Venezuela",1971.03.15,32,16,Outdoor Hard,"$15,000",Thomaz Koch,Thomaz Koch Jose Edison Mandarino,,https://www.atptour.com/en/scores/archive/caracas/344/1971/results
1971,Tennis Champions Classic,United States,1971.03.19,9,0,Indoor Carpet,"$210,000",Rod Laver,,,https://www.atptour.com/en/scores/archive/tennis-champions-classic/9289/1971/results
1971,Chicago WCT,"Chicago, United States",1971.03.22,32,16,Indoor Carpet,"$50,000",John Newcombe,Tom Okker Marty Riessen,,https://www.atptour.com/en/scores/archive/chicago/818/1971/results
1971,Pensacola,"Pensacola, United States",1971.03.27,32,0,Indoor Hard,"$10,000",Milan Holecek,,,https://www.atptour.com/en/scores/archive/pensacola/9237/1971/results
1971,San Juan,"San Juan, Puerto Rico",1971.03.28,32,0,Outdoor Hard,,Stan Smith,,,https://www.atptour.com/en/scores/archive/san-juan/6817/1971/results
1971,Miami WCT,"Miami, United States",1971.03.29,32,16,Outdoor Hard,"$50,000",Cliff Drysdale,John Newcombe Tony Roche,,https://www.atptour.com/en/scores/archive/miami/681/1971/results
1971,Nice,"Nice, France",1971.03.29,64,32,Outdoor Clay,"$12,500",Ilie Nastase,,,https://www.atptour.com/en/scores/archive/nice/6120/1971/results
1971,Durban,"Durban, South Africa",1971.03.29,64,0,Outdoor Hard,"$10,500",Bob Hewitt,,,https://www.atptour.com/en/scores/archive/durban/260/1971/results
1971,Johannesburg,"Johannesburg, South Africa",1971.04.05,128,0,Outdoor Hard,"$36,000",Ken Rosewall,,,https://www.atptour.com/en/scores/archive/johannesburg/426/1971/results
1971,Monte Carlo,"Monte Carlo, Monaco",1971.04.05,32,16,Outdoor Clay,"$12,500",Ilie Nastase,Ilie Nastase Ion Tiriac,,https://www.atptour.com/en/scores/archive/monte-carlo/410/1971/results
1971,St. Petersburg,"St. Petersburg, United States",1971.04.05,64,0,Outdoor Clay,"$5,000",Mike Belkin,,,https://www.atptour.com/en/scores/archive/st-petersburg/6818/1971/results
1971,Des Moines,"Des Moines, United States",1971.04.07,16,0,Indoor Carpet,"$15,000",Cliff Richey,,,https://www.atptour.com/en/scores/archive/des-moines/2061/1971/results
1971,Charlotte,"Charlotte, United States",1971.04.12,32,16,Outdoor Clay,"$25,000",Arthur Ashe,,,https://www.atptour.com/en/scores/archive/charlotte/436/1971/results
1971,Palermo,"Palermo, Italy",1971.04.12,64,16,Outdoor Clay,"$12,500",Roger Taylor,Pierre Barthes Georges Goven,,https://www.atptour.com/en/scores/archive/palermo/325/1971/results
1971,Jacksonville,"Jacksonville, United States",1971.04.13,32,0,Outdoor Clay,"$15,000",Tom Edlefsen,,,https://www.atptour.com/en/scores/archive/jacksonville/2047/1971/results
1971,Houston,"Houston, United States",1971.04.19,32,32,Outdoor Clay,"$25,000",Cliff Richey,,,https://www.atptour.com/en/scores/archive/houston/405/1971/results
1971,Catania,"Catania, Italy",1971.04.19,64,16,Outdoor Clay,"$12,500",Jan Kodes,Pierre Barthes Pierre Jauffret,,https://www.atptour.com/en/scores/archive/catania/2065/1971/results
1971,Denver,"Denver, United States",1971.04.21,8,0,Indoor Carpet,"$17,500",Ken Rosewall,,,https://www.atptour.com/en/scores/archive/denver/389/1971/results
1971,WCT Aetna World Cup,"Boston, United States",1971.04.24,6,0,Indoor Carpet,"$30,000",,,,https://www.atptour.com/en/scores/archive/boston/9205/1971/results
1971,Dallas WCT,"Dallas, United States",1971.04.26,32,16,Indoor Carpet,"$50,000",John Newcombe,Tom Okker Marty Riessen,,https://www.atptour.com/en/scores/archive/dallas/388/1971/results
1971,Paris,"Paris, France",1971.04.26,32,16,Outdoor Clay,"$17,500",Stan Smith,Tom Gorman Stan Smith,,https://www.atptour.com/en/scores/archive/paris/2010/1971/results
1971,Kansas City,"Kansas City, United States",1971.04.30,8,0,Outdoor Hard,"$10,000",Cliff Richey,,,https://www.atptour.com/en/scores/archive/kansas-city/9238/1971/results
1971,Rome WCT,"Rome, Italy",1971.05.03,64,32,Outdoor Clay,"$50,000",Rod Laver,John Newcombe Tony Roche,,https://www.atptour.com/en/scores/archive/rome/416/1971/results
1971,Madrid,"Madrid, Spain",1971.05.03,64,0,Outdoor Clay,"$15,000",Ion Tiriac,,,https://www.atptour.com/en/scores/archive/madrid/2026/1971/results
1971,Tehran WCT,"Tehran, Iran",1971.05.10,32,16,Outdoor Clay,"$50,000",Marty Riessen,John Newcombe Tony Roche,,https://www.atptour.com/en/scores/archive/tehran/2011/1971/results
1971,Bournemouth,"Bournemouth, Great Britain",1971.05.17,32,16,Outdoor Clay,"$25,000",Gerald Battrick,Bill Bowrey Owen Davidson,,https://www.atptour.com/en/scores/archive/bournemouth/347/1971/results
1971,Brussels,"Brussels, Belgium",1971.05.17,32,16,Outdoor Clay,"$25,000",Cliff Drysdale,Tom Okker Marty Riessen,,https://www.atptour.com/en/scores/archive/brussels/406/1971/results
1971,Hamburg,"Hamburg, Germany",1971.05.17,64,16,Outdoor Clay,"$25,000",Andres Gimeno,John Alexander Andres Gimeno,,https://www.atptour.com/en/scores/archive/hamburg/414/1971/results
1971,Roland Garros,"Paris, France",1971.05.24,128,128,Outdoor Clay,"$75,000",Jan Kodes,Arthur Ashe Marty Riessen,,https://www.atptour.com/en/scores/archive/roland-garros/520/1971/results
1971,Berlin,"Berlin, Germany",1971.05.24,32,0,Outdoor Clay,"$10,000",Christian Kuhnke,,,https://www.atptour.com/en/scores/archive/berlin/9240/1971/results
1971,Manchester,"Manchester, Great Britain",1971.05.31,128,0,Outdoor Grass,,Colin Dibley,,,https://www.atptour.com/en/scores/archive/manchester/583/1971/results
