,year,name,identifier ,url
93287,1988,Los Angeles,1988-Los Angeles,https://www.atptour.com/en/scores/archive/los-angeles/423/1988/results
93318,1988,Geneva,1988-Geneva,https://www.atptour.com/en/scores/archive/geneva/322/1988/results
93349,1988,Bari,1988-Bari,https://www.atptour.com/en/scores/archive/bari/306/1988/results
93380,1988,Seoul Olympics,1988-Seoul Olympics,https://www.atptour.com/en/scores/archive/seoul/88/1988/results
93443,1988,San Francisco,1988-San Francisco,https://www.atptour.com/en/scores/archive/san-francisco/424/1988/results
93474,1988,Palermo,1988-Palermo,https://www.atptour.com/en/scores/archive/palermo/325/1988/results
93521,1988,Scottsdale,1988-Scottsdale,https://www.atptour.com/en/scores/archive/scottsdale/433/1988/results
93552,1988,Basel,1988-Basel,https://www.atptour.com/en/scores/archive/basel/328/1988/results
93583,1988,Brisbane,1988-Brisbane,https://www.atptour.com/en/scores/archive/brisbane/326/1988/results
93614,1988,Sydney-2,1988-Sydney-2,https://www.atptour.com/en/scores/archive/sydney/427/1988/results
93645,1988,Toulouse,1988-Toulouse,https://www.atptour.com/en/scores/archive/toulouse/327/1988/results
93676,1988,Tel Aviv,1988-Tel Aviv,https://www.atptour.com/en/scores/archive/tel-aviv/330/1988/results
93707,1988,Vienna,1988-Vienna,https://www.atptour.com/en/scores/archive/vienna/337/1988/results
93738,1988,Frankfurt,1988-Frankfurt,https://www.atptour.com/en/scores/archive/frankfurt/348/1988/results
93769,1988,Tokyo-2,1988-Tokyo-2,https://www.atptour.com/en/scores/archive/tokyo/428/1988/results
93800,1988,Paris,1988-Paris,https://www.atptour.com/en/scores/archive/paris/352/1988/results
93831,1988,Stockholm,1988-Stockholm,https://www.atptour.com/en/scores/archive/stockholm/429/1988/results
93886,1988,Sao Paulo,1988-Sao Paulo,https://www.atptour.com/en/scores/archive/sao-paulo/237/1988/results
93917,1988,Buenos Aires,1988-Buenos Aires,https://www.atptour.com/en/scores/archive/buenos-aires/303/1988/results
93948,1988,Wembley,1988-Wembley,https://www.atptour.com/en/scores/archive/wembley/430/1988/results
93979,1988,Detroit,1988-Detroit,https://www.atptour.com/en/scores/archive/detroit/437/1988/results
94010,1988,Johannesburg,1988-Johannesburg,https://www.atptour.com/en/scores/archive/johannesburg/426/1988/results
94041,1988,Brussels,1988-Brussels,https://www.atptour.com/en/scores/archive/brussels/406/1988/results
94072,1988,Itaparica,1988-Itaparica,https://www.atptour.com/en/scores/archive/itaparica/240/1988/results
94103,1988,Masters,1988-Masters,https://www.atptour.com/en/scores/archive/masters/605/1988/results
94118,1988,Masters Doubles,1988-Masters Doubles,https://www.atptour.com/en/scores/archive/masters-doubles/602/1988/results
94119,1989,Wellington,1989-Wellington,https://www.atptour.com/en/scores/archive/wellington/354/1989/results
94150,1989,Adelaide,1989-Adelaide,https://www.atptour.com/en/scores/archive/adelaide/7308/1989/results
94181,1989,Auckland,1989-Auckland,https://www.atptour.com/en/scores/archive/auckland/301/1989/results
94212,1989,Sydney-1,1989-Sydney-1,https://www.atptour.com/en/scores/archive/sydney/338/1989/results
94243,1989,Australian Open,1989-Australian Open,https://www.atptour.com/en/scores/archive/australian-open/580/1989/results
94370,1989,Rotterdam,1989-Rotterdam,https://www.atptour.com/en/scores/archive/rotterdam/407/1989/results
94401,1989,Guaruja,1989-Guaruja,https://www.atptour.com/en/scores/archive/guaruja/201/1989/results
94432,1989,Milan,1989-Milan,https://www.atptour.com/en/scores/archive/milan/408/1989/results
94463,1989,Memphis,1989-Memphis,https://www.atptour.com/en/scores/archive/memphis/402/1989/results
94510,1989,Philadelphia,1989-Philadelphia,https://www.atptour.com/en/scores/archive/philadelphia/401/1989/results
94557,1989,Lyon,1989-Lyon,https://www.atptour.com/en/scores/archive/lyon/7309/1989/results
94588,1989,Nancy,1989-Nancy,https://www.atptour.com/en/scores/archive/nancy/304/1989/results
94619,1989,WCT Finals,1989-WCT Finals,https://www.atptour.com/en/scores/archive/dallas/610/1989/results
94626,1989,Scottsdale,1989-Scottsdale,https://www.atptour.com/en/scores/archive/scottsdale/433/1989/results
94657,1989,Indian Wells,1989-Indian Wells,https://www.atptour.com/en/scores/archive/indian-wells/404/1989/results
94712,1989,Key Biscayne,1989-Key Biscayne,https://www.atptour.com/en/scores/archive/key-biscayne/403/1989/results
94839,1989,Rio de Janeiro,1989-Rio de Janeiro,https://www.atptour.com/en/scores/archive/rio-de-janeiro/215/1989/results
94870,1989,Athens,1989-Athens,https://www.atptour.com/en/scores/archive/athens/367/1989/results
94901,1989,Seoul,1989-Seoul,https://www.atptour.com/en/scores/archive/seoul/434/1989/results
94932,1989,Tokyo-1,1989-Tokyo-1,https://www.atptour.com/en/scores/archive/tokyo/329/1989/results
94987,1989,Nice,1989-Nice,https://www.atptour.com/en/scores/archive/nice/6120/1989/results
95018,1989,Monte Carlo,1989-Monte Carlo,https://www.atptour.com/en/scores/archive/monte-carlo/410/1989/results
95065,1989,Singapore,1989-Singapore,https://www.atptour.com/en/scores/archive/singapore/456/1989/results
