,year,name,identifier ,url
0,1877,Wimbledon,1877-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1877/results
21,1878,Wimbledon,1878-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1878/results
53,1879,Wimbledon,1879-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1879/results
98,1880,Wimbledon,1880-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1880/results
158,1881,Wimbledon,1881-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1881/results
206,1881,US Championships,1881-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1881/results
230,1882,Wimbledon,1882-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1882/results
259,1882,US Championships,1882-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1882/results
296,1883,Wimbledon,1883-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1883/results
319,1883,US Championships,1883-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1883/results
345,1884,Wimbledon,1884-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1884/results
375,1884,US Championships,1884-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1884/results
410,1885,Wimbledon,1885-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1885/results
433,1885,US Championships,1885-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1885/results
459,1886,Wimbledon,1886-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1886/results
482,1886,US Championships,1886-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1886/results
514,1887,Wimbledon,1887-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1887/results
531,1887,US Championships,1887-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1887/results
547,1888,Wimbledon,1888-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1888/results
571,1888,US Championships,1888-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1888/results
603,1889,Wimbledon,1889-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1889/results
627,1889,US Championships,1889-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1889/results
659,1890,Wimbledon,1890-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1890/results
689,1890,US Championships,1890-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1890/results
721,1891,Wimbledon,1891-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1891/results
743,1891,US Championships,1891-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1891/results
807,1892,Wimbledon,1892-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1892/results
834,1892,US Championships,1892-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1892/results
898,1893,Wimbledon,1893-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1893/results
925,1893,US Championships,1893-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1893/results
989,1894,Wimbledon,1894-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1894/results
1012,1894,US Championships,1894-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1894/results
1044,1895,Wimbledon,1895-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1895/results
1062,1895,US Championships,1895-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1895/results
1126,1896,Wimbledon,1896-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1896/results
1157,1896,US Championships,1896-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1896/results
1189,1897,Wimbledon,1897-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1897/results
1220,1897,US Championships,1897-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1897/results
1252,1898,Wimbledon,1898-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1898/results
1289,1898,US Championships,1898-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1898/results
1321,1899,Wimbledon,1899-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1899/results
1358,1899,US Championships,1899-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1899/results
1390,1900,Wimbledon,1900-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1900/results
1427,1900,US Championships,1900-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1900/results
1459,1901,Wimbledon,1901-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1901/results
1495,1901,US Championships,1901-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1901/results
1527,1902,Wimbledon,1902-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1902/results
1569,1902,US Championships,1902-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1902/results
1652,1903,Wimbledon,1903-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1903/results
1694,1903,US Championships,1903-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1903/results
1771,1904,Wimbledon,1904-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1904/results
1833,1904,US Championships,1904-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1904/results
1916,1905,Wimbledon,1905-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1905/results
1987,1905,US Championships,1905-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1905/results
2092,1905,Australasian Championships,1905-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1905/results
2108,1906,Wimbledon,1906-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1906/results
2177,1906,US Championships,1906-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1906/results
2294,1906,Australasian Championships,1906-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1906/results
2303,1907,Wimbledon,1907-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1907/results
2387,1907,Australasian Championships,1907-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1907/results
2406,1907,US Championships,1907-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1907/results
2521,1908,Wimbledon,1908-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1908/results
2590,1908,US Championships,1908-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1908/results
2735,1908,Australasian Championships,1908-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1908/results
2749,1909,Wimbledon,1909-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1909/results
2834,1909,US Championships,1909-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1909/results
2998,1909,Australasian Championships,1909-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1909/results
3008,1910,Australasian Championships,1910-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1910/results
3021,1910,Wimbledon,1910-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1910/results
3113,1910,US Championships,1910-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1910/results
3296,1911,Wimbledon,1911-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1911/results
3400,1911,US Championships,1911-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1911/results
3602,1911,Australasian Championships,1911-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1911/results
3618,1912,Wimbledon,1912-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1912/results
3699,1912,US Championships,1912-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1912/results
3826,1912,Australasian Championships,1912-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1912/results
3837,1913,Wimbledon,1913-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1913/results
3953,1913,US Championships,1913-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1913/results
4080,1913,Australasian Championships,1913-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1913/results
4088,1914,Wimbledon,1914-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1914/results
4190,1914,US Championships,1914-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1914/results
4317,1914,Australasian Championships,1914-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1914/results
4343,1915,Australasian Championships,1915-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1915/results
4359,1915,US Championships,1915-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1915/results
4486,1916,US Championships,1916-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1916/results
4613,1917,US Championships,1917-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1917/results
4676,1918,US Championships,1918-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1918/results
4762,1919,Wimbledon,1919-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1919/results
4890,1919,US Championships,1919-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1919/results
5017,1919,Australasian Championships,1919-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1919/results
5054,1920,Australasian Championships,1920-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1920/results
5079,1920,Wimbledon,1920-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1920/results
5208,1920,US Championships,1920-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1920/results
5335,1921,Wimbledon,1921-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1921/results
5586,1921,US Championships,1921-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1921/results
5693,1921,Australasian Championships,1921-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1921/results
5714,1922,Wimbledon,1922-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1922/results
5841,1922,US Championships,1922-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1922/results
5963,1922,Australasian Championships,1922-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1922/results
5997,1923,Wimbledon,1923-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1923/results
6124,1923,Australasian Championships,1923-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1923/results
6143,1923,US Championships,1923-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1923/results
6206,1924,Australasian Championships,1924-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1924/results
6245,1924,Wimbledon,1924-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1924/results
6372,1924,US Championships,1924-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1924/results
6453,1925,Australian Championships,1925-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1925/results
6511,1925,French Championships,1925-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1925/results
6571,1925,Wimbledon,1925-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1925/results
6698,1925,US Championships,1925-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1925/results
6761,1926,Australian Championships,1926-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1926/results
6803,1926,French Championships,1926-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1926/results
6876,1926,Wimbledon,1926-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1926/results
7003,1926,US Championships,1926-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1926/results
7066,1927,Australian Championships,1927-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1927/results
7105,1927,French Championships,1927-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1927/results
7179,1927,Wimbledon,1927-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1927/results
7306,1927,US Championships,1927-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1927/results
7369,1928,Australian Championships,1928-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1928/results
7408,1928,French Championships,1928-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1928/results
7477,1928,Wimbledon,1928-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1928/results
7604,1928,US Championships,1928-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1928/results
7667,1929,Australian Championships,1929-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1929/results
7698,1929,French Championships,1929-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1929/results
7780,1929,Wimbledon,1929-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1929/results
7907,1929,US Championships,1929-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1929/results
7996,1930,Australian Championships,1930-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1930/results
8027,1930,French Championships,1930-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1930/results
8107,1930,Wimbledon,1930-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1930/results
8234,1930,US Championships,1930-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1930/results
8328,1931,Australian Championships,1931-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1931/results
8359,1931,French Championships,1931-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1931/results
8447,1931,Wimbledon,1931-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1931/results
8574,1931,US Championships,1931-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1931/results
8657,1932,Australian Championships,1932-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1932/results
8686,1932,French Championships,1932-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1932/results
8785,1932,Wimbledon,1932-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1932/results
8912,1932,US Championships,1932-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1932/results
9003,1933,Australian Championships,1933-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1933/results
9034,1933,French Championships,1933-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1933/results
9123,1933,Wimbledon,1933-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1933/results
9250,1933,US Championships,1933-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1933/results
9339,1934,Australian Championships,1934-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1934/results
9370,1934,French Championships,1934-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1934/results
9458,1934,Wimbledon,1934-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1934/results
9585,1934,US Championships,1934-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1934/results
9673,1935,Australian Championships,1935-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1935/results
9704,1935,French Championships,1935-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1935/results
9792,1935,Wimbledon,1935-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1935/results
9919,1935,US Championships,1935-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1935/results
10016,1936,Australian Championships,1936-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1936/results
10047,1936,French Championships,1936-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1936/results
10121,1936,Wimbledon,1936-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1936/results
10248,1936,US Championships,1936-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1936/results
10337,1937,Australian Championships,1937-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1937/results
10368,1937,French Championships,1937-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1937/results
10456,1937,Wimbledon,1937-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1937/results
10583,1937,US Championships,1937-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1937/results
10682,1938,Australian Championships,1938-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1938/results
10713,1938,French Championships,1938-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1938/results
10802,1938,Wimbledon,1938-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1938/results
10929,1938,US Championships,1938-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1938/results
11027,1939,Australian Championships,1939-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1939/results
11058,1939,French Championships,1939-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1939/results
11112,1939,Wimbledon,1939-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1939/results
11239,1939,US Championships,1939-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1939/results
11326,1940,Australian Championships,1940-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1940/results
11357,1940,US Championships,1940-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1940/results
11434,1941,US Championships,1941-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1941/results
11497,1942,US Championships,1942-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1942/results
11560,1943,US Championships,1943-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1943/results
11591,1944,US Championships,1944-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1944/results
11622,1945,US Championships,1945-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1945/results
11669,1946,Australian Championships,1946-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1946/results
11703,1946,Wimbledon,1946-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1946/results
11830,1946,French Championships,1946-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1946/results
11893,1946,US Championships,1946-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1946/results
11990,1947,Australian Championships,1947-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1947/results
12021,1947,Wimbledon,1947-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1947/results
12148,1947,French Championships,1947-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1947/results
12232,1947,US Championships,1947-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1947/results
12331,1948,Australian Championships,1948-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1948/results
12401,1948,French Championships,1948-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1948/results
12496,1948,Wimbledon,1948-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1948/results
12623,1948,US Championships,1948-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1948/results
12713,1949,Australian Championships,1949-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1949/results
12744,1949,French Championships,1949-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1949/results
12834,1949,Wimbledon,1949-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1949/results
12961,1949,US Championships,1949-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1949/results
13024,1950,Australian Championships,1950-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1950/results
13058,1950,French Championships,1950-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1950/results
13169,1950,Wimbledon,1950-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1950/results
13296,1950,US Championships,1950-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1950/results
13359,1951,Australian Championships,1951-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1951/results
13390,1951,French Championships,1951-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1951/results
13485,1951,Wimbledon,1951-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1951/results
13612,1951,US Championships,1951-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1951/results
13714,1952,Australian Championships,1952-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1952/results
13750,1952,French Championships,1952-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1952/results
13863,1952,Wimbledon,1952-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1952/results
13990,1952,US Championships,1952-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1952/results
14117,1953,Australian Championships,1953-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1953/results
14148,1953,French Championships,1953-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1953/results
14257,1953,Wimbledon,1953-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1953/results
14384,1953,US Championships,1953-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1953/results
14501,1954,Australian Championships,1954-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1954/results
14532,1954,French Championships,1954-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1954/results
14659,1954,Wimbledon,1954-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1954/results
14786,1954,US Championships,1954-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1954/results
14901,1955,Australian Championships,1955-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1955/results
14937,1955,French Championships,1955-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1955/results
15052,1955,Wimbledon,1955-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1955/results
15179,1955,US Championships,1955-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1955/results
15302,1956,Australian Championships,1956-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1956/results
15333,1956,French Championships,1956-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1956/results
15446,1956,Wimbledon,1956-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1956/results
15573,1956,US Championships,1956-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1956/results
15700,1957,Australian Championships,1957-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1957/results
15731,1957,French Championships,1957-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1957/results
15809,1957,Wimbledon,1957-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1957/results
15936,1957,US Championships,1957-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1957/results
16063,1958,Australian Championships,1958-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1958/results
16094,1958,French Championships,1958-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1958/results
16173,1958,Wimbledon,1958-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1958/results
16300,1958,US Championships,1958-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1958/results
16427,1959,Australian Championships,1959-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1959/results
16463,1959,French Championships,1959-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1959/results
16548,1959,Wimbledon,1959-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1959/results
16675,1959,US Championships,1959-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1959/results
16802,1960,Australian Championships,1960-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1960/results
16833,1960,French Championships,1960-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1960/results
16918,1960,Wimbledon,1960-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1960/results
17045,1960,US Championships,1960-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1960/results
17172,1961,Australian Championships,1961-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1961/results
17215,1961,French Championships,1961-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1961/results
17295,1961,Wimbledon,1961-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1961/results
17422,1961,US Championships,1961-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1961/results
17541,1962,Australian Championships,1962-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1962/results
17588,1962,French Championships,1962-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1962/results
17701,1962,Wimbledon,1962-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1962/results
17828,1962,US Championships,1962-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1962/results
17955,1963,Australian Championships,1963-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1963/results
17998,1963,French Championships,1963-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1963/results
18099,1963,Wimbledon,1963-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1963/results
18226,1963,US Championships,1963-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1963/results
18353,1964,Australian Championships,1964-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1964/results
18400,1964,French Championships,1964-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1964/results
18499,1964,Wimbledon,1964-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1964/results
18626,1964,US Championships,1964-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1964/results
18753,1965,Australian Championships,1965-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1965/results
18808,1965,French Championships,1965-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1965/results
18927,1965,Wimbledon,1965-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1965/results
19054,1965,US Championships,1965-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1965/results
19181,1966,Australian Championships,1966-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1966/results
19244,1966,French Championships,1966-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1966/results
19363,1966,Wimbledon,1966-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1966/results
19490,1966,US Championships,1966-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1966/results
19617,1967,Australian Championships,1967-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1967/results
19675,1967,French Championships,1967-French Championships,https://www.atptour.com/en/scores/archive/french-championships/520/1967/results
19798,1967,Wimbledon,1967-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1967/results
19925,1967,US Championships,1967-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1967/results
20052,1968,Cape Town-1,1968-Cape Town-1,https://www.atptour.com/en/scores/archive/cape-town/9346/1968/results
20054,1968,Perth,1968-Perth,https://www.atptour.com/en/scores/archive/perth/243/1968/results
20055,1968,Bloemfontein,1968-Bloemfontein,https://www.atptour.com/en/scores/archive/bloemfontein/9343/1968/results
20118,1968,Hobart,1968-Hobart,https://www.atptour.com/en/scores/archive/hobart/713/1968/results
20154,1968,Durban-1,1968-Durban-1,https://www.atptour.com/en/scores/archive/durban/260/1968/results
20216,1968,Australian Championships,1968-Australian Championships,https://www.atptour.com/en/scores/archive/australian-championships/580/1968/results
20277,1968,Sydney WCT,1968-Sydney WCT,https://www.atptour.com/en/scores/archive/sydney/9295/1968/results
20290,1968,Auckland,1968-Auckland,https://www.atptour.com/en/scores/archive/auckland/301/1968/results
20313,1968,WCT World Cup,1968-WCT World Cup,https://www.atptour.com/en/scores/archive/kansas-city-and-st-louis/9296/1968/results
20329,1968,Richmond,1968-Richmond,https://www.atptour.com/en/scores/archive/richmond/802/1968/results
