Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team
1909,Wimbledon,"London, Great Britain",1909.06.21,128,0,Outdoor Grass,,Arthur Gore,,
1909,US Championships,"Newport, United States",1909.08.17,256,0,Outdoor Grass,,William Larned,,
1909,Australasian Championships,"Perth, Australia",1909.10.16,16,0,Outdoor Grass,,Tony Wilding,,
1910,Australasian Championships,"Adelaide, Australia",1910.03.15,16,0,Outdoor Grass,,Rodney Heath,,
1910,Wimbledon,"London, Great Britain",1910.06.20,128,0,Outdoor Grass,,Tony Wilding,,
1910,US Championships,"Newport, United States",1910.08.15,256,0,Outdoor Grass,,William Larned,,
1911,Wimbledon,"London, Great Britain",1911.06.26,128,0,Outdoor Grass,,Tony Wilding,,
1911,US Championships,"Newport, United States",1911.08.21,256,0,Outdoor Grass,,William Larned,,
1911,Australasian Championships,"Melbourne, Australia",1911.11.20,32,0,Outdoor Grass,,Norman Brookes,,
1912,Wimbledon,"London, Great Britain",1912.06.24,128,0,Outdoor Grass,,Tony Wilding,,
1912,US Championships,"Newport, United States",1912.08.19,256,0,Outdoor Grass,,Maurice McLoughlin,,
1912,Australasian Championships,"Hastings, New Zealand",1912.12.30,16,0,Outdoor Grass,,James Cecile Parke,,
1913,Wimbledon,"London, Great Britain",1913.06.23,129,0,Outdoor Grass,,Tony Wilding,,
1913,US Championships,"Newport, Rhode Island, United States",1913.08.18,256,0,Outdoor Grass,,Maurice McLoughlin,,
1913,Australasian Championships,"Perth, Australia",1913.11.01,16,0,Outdoor Grass,,Ernest Parker,,
1914,Wimbledon,"London, Great Britain",1914.06.22,129,0,Outdoor Grass,,Norman Brookes,,
1914,US Championships,"Newport, Rhode Island, United States",1914.08.24,256,0,Outdoor Grass,,Richard Norris Williams,,
1914,Australasian Championships,"Melbourne, Australia",1914.11.23,32,0,Outdoor Grass,,Arthur O'Hara-Wood,,
1915,Australasian Championships,"Brisbane, Australia",1915.08.16,32,0,Outdoor Grass,,Gordon Lowe,,
