Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team 
1974,Little Rock,"Little Rock, United States",1974.02.04,32,16,Indoor Hard,"$20,000",Jimmy Connors,Jurgen Fassbender Karl Meiler,
1974,Bologna WCT,"Bologna, Italy",1974.02.11,32,16,Indoor Carpet,"$50,000",Arthur Ashe,Bjorn Borg Ove Nils Bengtson,
1974,Toronto WCT,"Toronto, Canada",1974.02.11,32,16,Indoor Carpet,"$50,000",Tom Okker,Raul Ramirez Tony Roche,
1974,Birmingham,"Birmingham, United States",1974.02.11,32,16,Indoor Carpet,"$25,000",Jimmy Connors,Ian Fletcher Sandy Mayer,
1974,London WCT,"London, Great Britain",1974.02.15,32,16,Indoor Carpet,"$50,000",Bjorn Borg,Bjorn Borg Ove Nils Bengtson,
1974,Long Island WCT,"Long Island, United States",1974.02.18,32,16,Indoor Carpet,"$50,000",Stan Smith,Jeff Borowiak Dick Crealy,
1974,Salisbury,"Salisbury, United States",1974.02.18,64,32,Indoor Carpet,"$50,000",Jimmy Connors,Jimmy Connors Frew McMillan,
1974,Barcelona WCT,"Barcelona, Spain",1974.02.25,32,16,Indoor Carpet,"$50,000",Arthur Ashe,Arthur Ashe Roscoe Tanner,
1974,Carlsbad WCT,"Carlsbad, United States",1974.02.25,32,16,Outdoor Hard,"$50,000",John Newcombe,Clark Graebner Charlie Pasarell,
1974,Miami WCT,"Miami, United States",1974.02.25,32,16,Indoor Carpet,"$50,000",Cliff Drysdale,John Alexander Phil Dent,
1974,Paramus,"Paramus, United States",1974.02.28,16,0,Indoor Hard,"$20,000",Sandy Mayer,,
1974,Caracas,"Caracas, Venezuela",1974.03.04,12,0,Outdoor Hard,"$35,000",Charlie Pasarell,,
1974,Hampton,"Hampton, United States",1974.03.04,64,16,Indoor Carpet,"$35,000",Jimmy Connors,Zeljko Franulovic Nikola Pilic,
1974,WCT Aetna World Cup,"Hartford, United States",1974.03.07,6,0,Indoor Carpet,"$37,500",,,
1974,Sao Paulo WCT,"Sao Paulo, Brazil",1974.03.11,32,16,Indoor Carpet,"$50,000",Bjorn Borg,,
1974,Washington WCT,"Washington, United States",1974.03.11,32,16,Indoor Carpet,"$50,000",Ilie Nastase,Bob Hewitt Frew McMillan,
1974,Calgary,"Calgary, Canada",1974.03.11,32,16,Indoor Hard,"$25,000",Karl Meiler,Jurgen Fassbender Karl Meiler,
1974,Tucson,"Tucson, United States",1974.03.18,64,32,Outdoor Hard,"$150,000",John Newcombe,Charlie Pasarell Sherwood Stewart,
1974,Jackson,"Jackson, United States",1974.03.20,32,16,Indoor Carpet,"$25,000",Sandy Mayer,Fred McNair IV Grover Raz Reid,
1974,Salt Lake City,"Salt Lake City, United States",1974.03.20,32,16,Indoor Hard,"$17,500",Jimmy Connors,Jimmy Connors Vitas Gerulaitis,
1974,Atlanta WCT,"Atlanta, United States",1974.03.25,32,16,Indoor Carpet,"$50,000",Dick Stockton,Robert Lutz Stan Smith,
1974,Palm Desert WCT,"Palm Desert, United States",1974.03.25,32,16,Outdoor Hard,"$50,000",Rod Laver,Jan Kodes Vladimir Zednik,
1974,Rotterdam WCT,"Rotterdam, Netherlands",1974.03.25,32,16,Indoor Carpet,"$50,000",Tom Okker,Bob Hewitt Frew McMillan,
1974,Tempe,"Tempe, United States",1974.03.27,64,32,Outdoor Hard,"$20,000",Jimmy Connors,Jurgen Fassbender Karl Meiler,
1974,Munich WCT,"Munich, Germany",1974.04.01,32,16,Indoor Carpet,"$50,000",Frew McMillan,Bob Hewitt Frew McMillan,
1974,New Orleans WCT,"New Orleans, United States",1974.04.01,32,16,Indoor Carpet,"$50,000",John Newcombe,Robert Lutz Stan Smith,
1974,Monte Carlo WCT,"Monte Carlo, Monaco",1974.04.08,32,16,Outdoor Clay,"$50,000",Andrew Pattison,John Alexander Phil Dent,
1974,Orlando WCT,"Orlando, United States",1974.04.08,32,16,Outdoor Hard,"$50,000",John Newcombe,Owen Davidson John Newcombe,
1974,Tokyo WCT,"Tokyo, Japan",1974.04.08,32,16,Outdoor Hard,"$50,000",Rod Laver,Raymond Moore Onny Parun,
1974,Charlotte WCT,"Charlotte, United States",1974.04.15,32,16,Outdoor Clay,"$50,000",Jeff Borowiak,Buster C. Mottram Raul Ramirez,
1974,Houston WCT,"Houston, United States",1974.04.15,32,16,Outdoor Clay,"$50,000",Rod Laver,Colin Dibley Rod Laver,
1974,Johannesburg WCT,"Johannesburg, South Africa",1974.04.15,32,16,Outdoor Hard,"$50,000",Andrew Pattison,Bob Hewitt Frew McMillan,
1974,Denver WCT,"Denver, United States",1974.04.22,32,16,Indoor Carpet,"$50,000",Roscoe Tanner,Arthur Ashe Roscoe Tanner,
1974,St. Louis WCT,"St. Louis, United States",1974.04.22,32,16,Indoor Carpet,"$50,000",Stan Smith,Ismail El Shafei Brian Fairlie,
1974,Acapulco,"Acapulco, Mexico",1974.05.01,16,0,Indoor Carpet,"$25,000",Tom Okker,,
1974,WCT Doubles Finals,"Montreal, Canada",1974.05.02,0,8,Indoor Carpet,"$80,000",,Bob Hewitt Frew McMillan,
1974,Florence,"Florence, Italy",1974.05.06,32,16,Outdoor Clay,"$25,000",Adriano Panatta,Paolo Bertolucci Adriano Panatta,
1974,WCT Finals,"Dallas, United States",1974.05.08,8,0,Indoor Carpet,"$100,000",John Newcombe,,
1974,Las Vegas,"Las Vegas, United States",1974.05.13,32,16,Outdoor Hard,"$150,000",Rod Laver,Roy Emerson Rod Laver,
1974,Munich-2,"Munich, Germany",1974.05.15,32,16,Outdoor Clay,"$25,000",Jurgen Fassbender,Antonio Munoz Manuel Orantes,
1974,Bournemouth,"Bournemouth, Great Britain",1974.05.20,64,32,Outdoor Clay,"$50,000",Ilie Nastase,Juan Gisbert Sr Ilie Nastase,
1974,Hamburg,"Hamburg, Germany",1974.05.20,64,16,Outdoor Clay,"$50,000",Eddie Dibbs,Jurgen Fassbender Hans-Jurgen Pohmann,
1974,Rome,"Rome, Italy",1974.05.25,64,32,Outdoor Clay,"$100,000",Bjorn Borg,Brian Gottfried Raul Ramirez,
1974,Roland Garros,"Paris, France",1974.06.03,128,64,Outdoor Clay,"$150,000",Bjorn Borg,Dick Crealy Onny Parun,
1974,Manchester,"Manchester, Great Britain",1974.06.03,64,16,Outdoor Grass,"$7,500",Jimmy Connors,,
1974,Beckenham,"Beckenham, Great Britain",1974.06.10,128,16,Outdoor Grass,"$7,500",Vijay Amritraj,,
1974,Nottingham,"Nottingham, Great Britain",1974.06.17,64,32,Outdoor Grass,"$100,000",Stan Smith,Charlie Pasarell Erik Van Dillen,
1974,Wimbledon,"London, Great Britain",1974.06.24,128,64,Outdoor Grass,"$135,000",Jimmy Connors,John Newcombe Tony Roche,
1974,Bastad,"Bastad, Sweden",1974.07.08,32,16,Outdoor Clay,"$50,000",Bjorn Borg,Paolo Bertolucci Adriano Panatta,
1974,Gstaad,"Gstaad, Switzerland",1974.07.08,32,16,Outdoor Clay,"$50,000",Guillermo Vilas,Jose Higueras Manuel Orantes,
1974,Dublin,"Dublin, Ireland",1974.07.08,32,32,Outdoor Hard,"$25,000",Sherwood Stewart,Colin Dowdeswell John Yuill,
1974,Chicago,"Chicago, United States",1974.07.15,32,16,Outdoor Carpet,"$50,000",Stan Smith,Tom Gorman Marty Riessen,
1974,Hilversum,"Hilversum, Netherlands",1974.07.15,32,16,Outdoor Clay,"$50,000",Guillermo Vilas,,
1974,Kitzbuhel,"Kitzbuhel, Austria",1974.07.15,32,16,Outdoor Clay,"$50,000",Balazs Taroczy,Ivan Molina Jairo Velasco Sr,
1974,Washington-2,"Washington, United States",1974.07.22,64,32,Outdoor Clay,"$100,000",Harold Solomon,Tom Gorman Marty Riessen,
1974,Louisville,"Louisville, United States",1974.07.29,64,32,Outdoor Clay,"$100,000",Guillermo Vilas,,
1974,Cincinnati,"Cincinnati, United States",1974.07.29,32,16,Indoor Carpet,"$30,000",Marty Riessen,Dick Dell Sherwood Stewart,
1974,Indianapolis,"Indianapolis, United States",1974.08.05,64,32,Outdoor Clay,"$100,000",Jimmy Connors,Jimmy Connors Ilie Nastase,
1974,Bretton Woods,"Bretton Woods, United States",1974.08.05,32,16,Outdoor Clay,"$50,000",Rod Laver,Jeff Borowiak Rod Laver,
1974,Toronto-2,"Toronto, Canada",1974.08.12,64,32,Outdoor Clay,"$100,000",Guillermo Vilas,Manuel Orantes Guillermo Vilas,
1974,Columbus,"Columbus, United States",1974.08.12,32,16,Outdoor Hard,"$50,000",Raul Ramirez,Anand Amritraj Vijay Amritraj,
1974,Boston,"Boston, United States",1974.08.19,64,32,Outdoor Clay,"$100,000",Bjorn Borg,Robert Lutz Stan Smith,
1974,South Orange,"South Orange, United States",1974.08.19,32,16,Outdoor Grass,"$50,000",Alex Metreveli,Brian Gottfried Raul Ramirez,
1974,Haverford,"Haverford, United States",1974.08.19,64,32,Outdoor Grass,"$25,000",John Lloyd,Roy Barth Humphrey Hose,
1974,US Open,"New York, United States",1974.08.28,128,64,Outdoor Grass,"$150,000",Jimmy Connors,Robert Lutz Stan Smith,
1974,Cedar Grove,"Cedar Grove, United States",1974.09.09,32,32,Outdoor Clay,"$50,000",Ilie Nastase,Steve Siegel Kim Warwick,
1974,Los Angeles,"Los Angeles, United States",1974.09.16,64,32,Outdoor Hard,"$100,000",Jimmy Connors,Ross Case Geoff Masters,
1974,San Francisco,"San Francisco, United States",1974.09.23,64,32,Indoor Carpet,"$100,000",Ross Case,Robert Lutz Stan Smith,
1974,Maui,"Maui, United States",1974.09.30,32,16,Outdoor Hard,"$50,000",John Newcombe,Dick Stockton Roscoe Tanner,
1974,Madrid,"Madrid, Spain",1974.10.07,128,32,Outdoor Clay,"$75,000",Ilie Nastase,Patrice Dominguez Antonio Munoz,
1974,Tokyo-2,"Tokyo, Japan",1974.10.07,64,32,Outdoor Clay,"$75,000",John Newcombe,,
1974,Barcelona-2,"Barcelona, Spain",1974.10.14,64,32,Outdoor Clay,"$75,000",Ilie Nastase,Juan Gisbert Sr Ilie Nastase,
1974,Sydney-2,"Sydney, Australia",1974.10.14,32,16,Indoor Hard,"$75,000",John Newcombe,Ross Case Geoff Masters,
1974,Tehran,"Tehran, Iran",1974.10.21,64,32,Outdoor Clay,"$100,000",Guillermo Vilas,Manuel Orantes Guillermo Vilas,
1974,Christchurch,"Christchurch, New Zealand",1974.10.21,32,16,Indoor Hard,"$25,000",Roscoe Tanner,Ismail El Shafei Roscoe Tanner,
1974,Melbourne,"Melbourne, Australia",1974.10.21,32,16,Outdoor Clay,"$25,000",Dick Stockton,Grover Raz Reid Allan Stone,
1974,Jakarta,"Jakarta, Indonesia",1974.10.28,32,16,Outdoor Hard,"$50,000",Onny Parun,Ismail El Shafei Roscoe Tanner,
1974,Paris,"Paris, France",1974.10.28,32,16,Indoor Hard,"$50,000",Brian Gottfried,Patrice Dominguez Francois Jauffret,
1974,Vienna,"Vienna, Austria",1974.10.28,32,16,Indoor Hard,"$25,000",Vitas Gerulaitis,Raymond Moore Andrew Pattison,
1974,World Invitational Tennis Classic,"Hilton Head, United States",1974.10.29,4,0,Outdoor Carpet,"$67,500",Ilie Nastase,,
1974,Stockholm,"Stockholm, Sweden",1974.11.04,64,32,Indoor Hard,"$100,000",Arthur Ashe,Tom Okker Marty Riessen,
1974,Hong Kong,"Hong Kong, Hong Kong",1974.11.04,32,16,Outdoor Hard,"$50,000",,,
1974,London-2,"London, Great Britain",1974.11.11,32,16,Indoor Carpet,"$75,000",Jimmy Connors,Jimmy Connors Ilie Nastase,
1974,Bombay,"Bombay, India",1974.11.11,32,16,Outdoor Clay,"$50,000",Onny Parun,Anand Amritraj Vijay Amritraj,
1974,Manila,"Manila, Philippines",1974.11.11,32,16,Indoor Clay,"$50,000",Ismail El Shafei,Syd Ball Ross Case,
1974,Oslo,"Oslo, Norway",1974.11.11,32,16,Indoor Hard,"$25,000",Jeff Borowiak,Karl Meiler Haroon Rahim,
1974,Johannesburg-2,"Johannesburg, South Africa",1974.11.18,32,32,Outdoor Hard,"$100,000",Jimmy Connors,Bob Hewitt Frew McMillan,
1974,Buenos Aires,"Buenos Aires, Argentina",1974.11.18,32,32,Outdoor Clay,"$50,000",Guillermo Vilas,Manuel Orantes Guillermo Vilas,
1974,Adelaide,"Adelaide, Australia",1974.12.02,32,0,Outdoor Grass,"$5,000",Bjorn Borg,,
1974,Masters,"Melbourne, Australia",1974.12.10,8,0,Outdoor Grass,"$100,000",Guillermo Vilas,,
1974,Sydney-3,"Sydney, Australia",1974.12.16,48,0,Outdoor Grass,"$21,500",Tony Roche,,
1975,Australian Open,"Melbourne, Australia",1974.12.26,64,32,Outdoor Grass,"$62,500",John Newcombe,John Alexander Phil Dent,
1975,Auckland,"Auckland, New Zealand",1975.01.06,32,16,Outdoor Grass,"$25,000",Onny Parun,Bob Carmichael Ray Ruffels,
1975,San Juan WCT,"San Juan, Puerto Rico",1975.01.13,16,0,Outdoor Clay,"$60,000",Rod Laver,,
1975,Bahamas,"Freeport, Bahamas",1975.01.13,32,0,Outdoor Hard,"$50,000",Jimmy Connors,,
1975,Baltimore,"Baltimore, United States",1975.01.13,16,8,Indoor Carpet,"$30,000",Brian Gottfried,Dick Crealy Ray Ruffels,
1975,Philadelphia WCT,"Philadelphia, United States",1975.01.20,128,64,Indoor Carpet,"$115,000",Marty Riessen,Brian Gottfried Raul Ramirez,
1975,Birmingham,"Birmingham, United States",1975.01.20,32,16,Indoor Carpet,"$25,000",Jimmy Connors,Jurgen Fassbender Karl Meiler,
1975,Richmond WCT,"Richmond, United States",1975.01.27,32,16,Indoor Carpet,"$60,000",Bjorn Borg,Hans Kary Fred McNair IV,
1975,Dayton,"Dayton, United States",1975.01.28,16,8,Indoor Carpet,"$30,000",Brian Gottfried,Ray Ruffels Allan Stone,
1975,Roanoke,"Roanoke, United States",1975.01.29,32,16,Indoor Carpet,"$25,000",Roger Taylor,Vitas Gerulaitis Sandy Mayer,
1975,St. Petersburg WCT,"St. Petersburg, United States",1975.02.03,32,16,Indoor Carpet,"$60,000",Raul Ramirez,Brian Gottfried Raul Ramirez,
1975,Basel,"Reinach, Switzerland",1975.02.03,32,16,Indoor Hard,"$25,000",Jiri Hrebec,,
1975,Little Rock,"Little Rock, United States",1975.02.03,32,16,Indoor Hard,"$25,000",Billy Martin,Marcelo Lara Barry Phillips-Moore,
1975,Bologna WCT,"Bologna, Italy",1975.02.06,32,16,Indoor Carpet,"$60,000",Bjorn Borg,Paolo Bertolucci Adriano Panatta,
1975,Toronto WCT,"Toronto, Canada",1975.02.10,32,16,Indoor Carpet,"$60,000",Harold Solomon,Dick Stockton Erik Van Dillen,
1975,Salisbury,"Salisbury, United States",1975.02.10,64,32,Indoor Carpet,"$50,000",Jimmy Connors,Jimmy Connors Ilie Nastase,
1975,Barcelona WCT,"Barcelona, Spain",1975.02.17,32,16,Indoor Carpet,"$60,000",Arthur Ashe,Arthur Ashe Tom Okker,
1975,Carlsbad WCT,"Carlsbad, United States",1975.02.17,32,16,Outdoor Hard,"$60,000",Rod Laver,Brian Gottfried Raul Ramirez,
1975,Fort Worth WCT,"Fort Worth, United States",1975.02.17,32,16,Indoor Hard,"$60,000",John Alexander,Robert Lutz Stan Smith,
1975,Boca Raton,"Boca Raton, United States",1975.02.17,32,16,Outdoor Clay,"$30,000",Jimmy Connors,Juan Gisbert Sr Clark Graebner,
1975,Algiers,"Algiers, Algeria",1975.02.17,32,0,Outdoor Clay,"$25,000",Birger Andersson,,
1975,Rotterdam WCT,"Rotterdam, Netherlands",1975.02.24,32,16,Indoor Carpet,"$60,000",Arthur Ashe,Bob Hewitt Frew McMillan,
1975,San Antonio WCT,"San Antonio, United States",1975.02.24,32,16,Indoor Carpet,"$60,000",Dick Stockton,John Alexander Phil Dent,
1975,Fairfield,"Fairfield, United States",1975.02.25,32,0,Indoor Carpet,"$30,000",Roger Taylor,,
1975,Cairo,"Cairo, Egypt",1975.03.03,32,0,Outdoor Clay,"$25,000",Manuel Orantes,,
1975,London WCT,"London, Great Britain",1975.03.04,16,8,Indoor Carpet,"$60,000",Mark Cox,Paolo Bertolucci Adriano Panatta,
1975,WCT Aetna World Cup,"Hartford, United States",1975.03.06,6,0,Indoor Carpet,"$55,000",,,
1975,Munich WCT,"Munich, Germany",1975.03.10,32,16,Indoor Carpet,"$60,000",Arthur Ashe,Bob Hewitt Frew McMillan,
1975,Sao Paulo WCT,"Sao Paulo, Brazil",1975.03.10,32,16,Indoor Carpet,"$60,000",Rod Laver,Ross Case Geoff Masters,
1975,Washington WCT,"Washington, United States",1975.03.10,32,16,Indoor Carpet,"$60,000",Mark Cox,Mike Estep Jeff Simpson,
1975,Dusseldorf-1,"Dusseldorf, Germany",1975.03.10,32,0,Indoor Hard,"$25,000",Jurgen Fassbender,,
1975,Hampton,"Hampton, United States",1975.03.11,32,16,Indoor Carpet,"$37,500",Jimmy Connors,Ian Crookenden Ian Fletcher,
1975,Caracas WCT,"Caracas, Venezuela",1975.03.17,32,16,Outdoor Hard,"$60,000",Rod Laver,Ross Case Geoff Masters,
1975,Memphis WCT,"Memphis, United States",1975.03.17,32,16,Indoor Carpet,"$60,000",Harold Solomon,Dick Stockton Erik Van Dillen,
1975,New York,"New York, United States",1975.03.17,32,0,Indoor Hard,"$30,000",Vitas Gerulaitis,,
1975,Monte Carlo WCT,"Monte Carlo, Monaco",1975.03.23,32,16,Outdoor Clay,"$60,000",Manuel Orantes,Bob Hewitt Frew McMillan,
1975,Atlanta WCT,"Atlanta, United States",1975.03.24,32,16,Indoor Carpet,"$60,000",Mark Cox,Anand Amritraj Vijay Amritraj,
1975,Orlando WCT,"Orlando, United States",1975.03.24,32,16,Outdoor Hard,"$60,000",Rod Laver,Brian Gottfried Raul Ramirez,
1975,Jackson,"Jackson, United States",1975.03.26,16,0,Indoor Carpet,"$35,000",Ken Rosewall,,
1975,Tucson,"Tucson, United States",1975.03.31,64,32,Outdoor Hard,"$175,000",John Alexander,William Brown Raul Ramirez,
1975,St. Louis WCT,"St. Louis, United States",1975.04.07,32,16,Indoor Carpet,"$60,000",Vitas Gerulaitis,Colin Dibley Ray Ruffels,
1975,Barcelona-2,"Barcelona, Spain",1975.04.07,64,0,Outdoor Clay,"$25,000",Ilie Nastase,,
1975,Johannesburg WCT,"Johannesburg, South Africa",1975.04.11,32,16,Outdoor Hard,"$60,000",Buster C. Mottram,Arthur Ashe Tom Okker,
1975,Denver WCT,"Denver, United States",1975.04.14,32,16,Indoor Carpet,"$60,000",Jimmy Connors,Roy Emerson Rod Laver,
1975,Tokyo WCT,"Tokyo, Japan",1975.04.14,32,16,Indoor Carpet,"$60,000",Robert Lutz,Robert Lutz Stan Smith,
1975,Valencia,"Valencia, Spain",1975.04.14,64,0,Outdoor Clay,"$25,000",Ilie Nastase,,
1975,Charlotte WCT,"Charlotte, United States",1975.04.21,32,16,Outdoor Clay,"$60,000",Raul Ramirez,Patricio Cornejo Jaime Fillol Sr.,
1975,Houston WCT,"Houston, United States",1975.04.21,32,16,Outdoor Clay,"$60,000",Ken Rosewall,Robert Lutz Stan Smith,
1975,Stockholm WCT,"Stockholm, Sweden",1975.04.21,32,16,Indoor Carpet,"$60,000",Arthur Ashe,Arthur Ashe Tom Okker,
1975,Madrid-1,"Madrid, Spain",1975.04.21,64,0,Outdoor Clay,"$25,000",Ilie Nastase,,
1975,Nice,"Nice, France",1975.04.28,64,32,Outdoor Clay,"$25,000",Dick Crealy,,
1975,WCT Doubles Finals,"Mexico City, Mexico",1975.04.30,0,16,Indoor Carpet,"$100,000",,Brian Gottfried Raul Ramirez,
1975,Munich-2,"Munich, Germany",1975.05.05,32,16,Outdoor Clay,"$50,000",Guillermo Vilas,Wojtek Fibak Jan Kodes,
1975,Florence,"Florence, Italy",1975.05.05,32,0,Outdoor Clay,"$25,000",Paolo Bertolucci,,
1975,WCT Finals,"Dallas, United States",1975.05.07,8,8,Indoor Carpet,"$100,000",Arthur Ashe,Brian Gottfried Raul Ramirez,
1975,Las Vegas,"Las Vegas, United States",1975.05.12,32,16,Outdoor Hard,"$150,000",Roscoe Tanner,John Alexander Phil Dent,
1975,Bournemouth,"Bournemouth, Great Britain",1975.05.12,64,32,Outdoor Clay,"$50,000",Manuel Orantes,Juan Gisbert Sr Manuel Orantes,
1975,Hamburg,"Hamburg, Germany",1975.05.19,64,32,Outdoor Clay,"$100,000",Manuel Orantes,Juan Gisbert Sr Manuel Orantes,
1975,Rome,"Rome, Italy",1975.05.26,64,32,Outdoor Clay,"$100,000",Raul Ramirez,Brian Gottfried Raul Ramirez,
1975,Dusseldorf-2,"Dusseldorf, Germany",1975.05.26,32,16,Outdoor Clay,"$50,000",Jaime Fillol Sr.,Francois Jauffret Jan Kodes,
1975,Roland Garros,"Paris, France",1975.06.04,128,64,Outdoor Clay,"$163,500",Bjorn Borg,Brian Gottfried Raul Ramirez,
1975,Nottingham,"Nottingham, Great Britain",1975.06.16,64,32,Outdoor Grass,"$100,000",Tom Okker,Charlie Pasarell Roscoe Tanner,
1975,Wimbledon,"London, Great Britain",1975.06.23,128,64,Outdoor Grass,"$137,500",Arthur Ashe,Vitas Gerulaitis Sandy Mayer,
1975,Bastad,"Bastad, Sweden",1975.07.07,32,16,Outdoor Clay,"$50,000",Manuel Orantes,Bjorn Borg Ove Nils Bengtson,
1975,Gstaad,"Gstaad, Switzerland",1975.07.07,32,16,Outdoor Clay,"$50,000",Ken Rosewall,Jurgen Fassbender Hans-Jurgen Pohmann,
1975,Kitzbuhel,"Kitzbuhel, Austria",1975.07.07,32,16,Outdoor Clay,"$50,000",Adriano Panatta,Paolo Bertolucci Adriano Panatta,
1975,Chicago,"Chicago, United States",1975.07.14,32,16,Outdoor Carpet,"$50,000",Roscoe Tanner,John Alexander Phil Dent,
1975,Hilversum,"Hilversum, Netherlands",1975.07.14,32,16,Outdoor Clay,"$50,000",Guillermo Vilas,Wojtek Fibak Guillermo Vilas,
1975,Istanbul,"Istanbul, Turkey",1975.07.14,32,16,Outdoor Clay,"$25,000",Colin Dowdeswell,Colin Dibley Thomaz Koch,
1975,Washington-2,"Washington, United States",1975.07.21,64,32,Outdoor Clay,"$100,000",Guillermo Vilas,Robert Lutz Stan Smith,
1975,Louisville,"Louisville, United States",1975.07.28,64,32,Outdoor Clay,"$100,000",Guillermo Vilas,Wojtek Fibak Guillermo Vilas,
1975,Cincinnati,"Cincinnati, United States",1975.07.28,32,16,Outdoor Hard,"$50,000",Tom Gorman,Phil Dent Cliff Drysdale,
1975,Indianapolis,"Indianapolis, United States",1975.08.04,64,32,Outdoor Clay,"$100,000",Manuel Orantes,Juan Gisbert Sr Manuel Orantes,
1975,North Conway,"North Conway, United States",1975.08.04,64,32,Outdoor Clay,"$100,000",Jimmy Connors,Haroon Rahim Erik Van Dillen,
1975,Toronto-2,"Toronto, Canada",1975.08.11,64,32,Outdoor Clay,"$100,000",Manuel Orantes,Cliff Drysdale Raymond Moore,
1975,Columbus,"Columbus, United States",1975.08.12,32,16,Outdoor Hard,"$50,000",Vijay Amritraj,Robert Lutz Stan Smith,
1975,Boston,"Boston, United States",1975.08.18,64,32,Outdoor Clay,"$100,000",Bjorn Borg,Brian Gottfried Raul Ramirez,
1975,South Orange,"South Orange, United States",1975.08.18,32,16,Outdoor Clay,"$50,000",Ilie Nastase,Jimmy Connors Ilie Nastase,
1975,US Open,"New York, United States",1975.08.27,128,64,Outdoor Clay,"$166,810",Manuel Orantes,Jimmy Connors Ilie Nastase,
1975,Los Angeles,"Los Angeles, United States",1975.09.15,64,32,Indoor Carpet,"$100,000",Arthur Ashe,Anand Amritraj Vijay Amritraj,
1975,Bermuda,"Hamilton, Bermuda",1975.09.15,32,16,Outdoor Hard,"$50,000",Jimmy Connors,,
1975,San Francisco,"San Francisco, United States",1975.09.22,64,32,Indoor Carpet,"$100,000",Arthur Ashe,Fred McNair IV Sherwood Stewart,
1975,Nations Cup,"Kingston, Jamaica",1975.09.29,16,0,Indoor Carpet,"$100,000",,,
1975,Maui,"Maui, United States",1975.09.29,32,32,Outdoor Hard,"$50,000",Jimmy Connors,Fred McNair IV Sherwood Stewart,
1975,Aviles,"Aviles, Spain",1975.09.29,32,0,Outdoor Clay,"$25,000",Nikola Pilic,,
1975,Madrid-2,"Madrid, Spain",1975.10.06,64,32,Outdoor Clay,"$75,000",Jan Kodes,Jan Kodes Ilie Nastase,
1975,Melbourne,"Melbourne, Australia",1975.10.06,32,16,Outdoor Clay,"$50,000",Brian Gottfried,Ross Case Geoff Masters,
1975,Sydney-1,"Sydney, Australia",1975.10.13,64,32,Indoor Hard,"$100,000",Stan Smith,Brian Gottfried Raul Ramirez,
1975,Barcelona-3,"Barcelona, Spain",1975.10.13,64,32,Outdoor Clay,"$75,000",Bjorn Borg,Bjorn Borg Guillermo Vilas,
1975,Tehran,"Tehran, Iran",1975.10.20,64,32,Outdoor Clay,"$100,000",Eddie Dibbs,Juan Gisbert Sr Manuel Orantes,
1975,World Invitational Tennis Classic,"Hilton Head, United States",1975.10.20,4,0,Outdoor Clay,"$67,500",Ilie Nastase,,
1975,Perth,"Perth, Australia",1975.10.20,32,16,Indoor Carpet,"$50,000",Harold Solomon,Brian Gottfried Raul Ramirez,
1975,Manila,"Manila, Philippines",1975.10.27,32,16,Indoor Clay,"$75,000",Ross Case,Ross Case Geoff Masters,
1975,Paris,"Paris, France",1975.10.27,32,32,Indoor Hard,"$50,000",Tom Okker,Wojtek Fibak Karl Meiler,
1975,Stockholm-2,"Stockholm, Sweden",1975.11.03,64,32,Indoor Hard,"$100,000",Adriano Panatta,Bob Hewitt Frew McMillan,
1975,Tokyo-2,"Tokyo, Japan",1975.11.03,64,32,Outdoor Clay,"$100,000",Raul Ramirez,Brian Gottfried Raul Ramirez,
1975,Buenos Aires,"Buenos Aires, Argentina",1975.11.10,32,32,Outdoor Clay,"$50,000",Guillermo Vilas,Paolo Bertolucci Adriano Panatta,
1975,Hong Kong,"Hong Kong, Hong Kong",1975.11.10,32,16,Outdoor Hard,"$50,000",Tom Gorman,Tom Okker Ken Rosewall,
1975,London-2,"London, Great Britain",1975.11.12,64,32,Indoor Carpet,"$75,000",Eddie Dibbs,Wojtek Fibak Karl Meiler,
1975,Johannesburg-2,"Johannesburg, South Africa",1975.11.17,64,32,Outdoor Hard,"$100,000",Harold Solomon,,
1975,Calcutta,"Calcutta, India",1975.11.17,32,16,Indoor Carpet,"$50,000",Vijay Amritraj,Juan Gisbert Sr Manuel Orantes,
1975,Masters,"Stockholm, Sweden",1975.11.30,8,4,Indoor Carpet,"$130,000",Ilie Nastase,,
1975,Masters Doubles,"Stockholm, Sweden",1975.11.30,0,4,Indoor Carpet,"$130,000",,Juan Gisbert Sr Manuel Orantes,
1975,Sydney-2,"Sydney, Australia",1975.12.15,64,32,Outdoor Grass,"$23,500",Ross Case,Mark Edmondson John Marks,
1976,Australian Open,"Melbourne, Australia",1975.12.26,64,32,Outdoor Grass,"$65,000",Mark Edmondson,John Newcombe Tony Roche,
1976,Monterrey WCT,"Monterrey, Mexico",1976.01.05,16,8,Indoor Carpet,"$60,000",Eddie Dibbs,Brian Gottfried Raul Ramirez,
1976,Auckland,"Auckland, New Zealand",1976.01.05,32,16,Outdoor Grass,,Onny Parun,,
1976,Columbus WCT,"Columbus, United States",1976.01.07,16,8,Indoor Carpet,"$60,000",Arthur Ashe,Bob Hewitt Frew McMillan,
1976,Indianapolis WCT,"Indianapolis, United States",1976.01.12,16,8,Indoor Carpet,"$60,000",Arthur Ashe,Robert Lutz Stan Smith,
1976,Atlanta WCT,"Atlanta, United States",1976.01.14,16,8,Indoor Carpet,"$60,000",Ilie Nastase,John Alexander Phil Dent,
