Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team,Tournament url
2015,Stuttgart,"Stuttgart, Germany",2015.06.08,28,16,Outdoor Grass,"€642,070",Rafael Nadal,Rohan Bopanna Florin Mergea,,https://www.atptour.com/en/scores/archive/stuttgart/321/2015/results
2015,'s-Hertogenbosch,"'s-Hertogenbosch, Netherlands",2015.06.08,28,16,Outdoor Grass,"€604,155",Nicolas Mahut,Ivo Karlovic Lukasz Kubot,,https://www.atptour.com/en/scores/archive/s-hertogenbosch/440/2015/results
2015,Halle,"Halle, Germany",2015.06.15,32,16,Outdoor Grass,"€1,696,645",Roger Federer,Raven Klaasen Rajeev Ram,,https://www.atptour.com/en/scores/archive/halle/500/2015/results
2015,London / Queen's Club,"London, Great Britain",2015.06.15,32,16,Outdoor Grass,"€1,696,645",Andy Murray,Pierre-Hugues Herbert Nicolas Mahut,,https://www.atptour.com/en/scores/archive/london/311/2015/results
2015,Nottingham,"Nottingham, Great Britain",2015.06.21,48,16,Outdoor Grass,"€644,065",Denis Istomin,Chris Guccione Andre Sa,,https://www.atptour.com/en/scores/archive/nottingham/741/2015/results
2015,Wimbledon,"London, Great Britain",2015.06.29,128,64,Outdoor Grass,"£12,568,000",Novak Djokovic,Jean-Julien Rojer Horia Tecau,,https://www.atptour.com/en/scores/archive/wimbledon/540/2015/results
2015,Newport,"Newport, United States",2015.07.13,32,16,Outdoor Grass,"$549,230",Rajeev Ram,Jonathan Marray Aisam-Ul-Haq Qureshi,,https://www.atptour.com/en/scores/archive/newport/315/2015/results
2015,Bogota,"Bogota, Colombia",2015.07.20,28,16,Outdoor Hard,"$768,915",Bernard Tomic,Edouard Roger-Vasselin Radek Stepanek,,https://www.atptour.com/en/scores/archive/bogota/6718/2015/results
2015,Bastad,"Bastad, Sweden",2015.07.20,28,16,Outdoor Clay,"€494,310",Benoit Paire,Jeremy Chardy Lukasz Kubot,,https://www.atptour.com/en/scores/archive/bastad/316/2015/results
2015,Umag,"Umag, Croatia",2015.07.20,28,16,Outdoor Clay,"€494,310",Dominic Thiem,Maximo Gonzalez Andre Sa,,https://www.atptour.com/en/scores/archive/umag/439/2015/results
2015,Hamburg,"Hamburg, Germany",2015.07.27,32,16,Outdoor Clay,"€1,407,960",Rafael Nadal,Jamie Murray John Peers,,https://www.atptour.com/en/scores/archive/hamburg/414/2015/results
2015,Atlanta,"Atlanta, United States",2015.07.27,28,16,Outdoor Hard,"$659,070",John Isner,Bob Bryan Mike Bryan,,https://www.atptour.com/en/scores/archive/atlanta/6116/2015/results
2015,Gstaad,"Gstaad, Switzerland",2015.07.27,28,16,Outdoor Clay,"€494,310",Dominic Thiem,Aliaksandr Bury Denis Istomin,,https://www.atptour.com/en/scores/archive/gstaad/314/2015/results
2015,Washington,"Washington, United States",2015.08.03,48,16,Outdoor Hard,"$1,753,020",Kei Nishikori,Bob Bryan Mike Bryan,,https://www.atptour.com/en/scores/archive/washington/418/2015/results
2015,Kitzbuhel,"Kitzbuhel, Austria",2015.08.03,28,16,Outdoor Clay,"€494,310",Philipp Kohlschreiber,Nicolas Almagro Carlos Berlocq,,https://www.atptour.com/en/scores/archive/kitzbuhel/319/2015/results
2015,ATP Masters 1000 Canada,"Montreal, Canada",2015.08.10,56,24,Outdoor Hard,"$4,178,500",Andy Murray,Bob Bryan Mike Bryan,,https://www.atptour.com/en/scores/archive/montreal/421/2015/results
2015,ATP Masters 1000 Cincinnati,"Cincinnati, United States",2015.08.16,56,24,Outdoor Hard,"$4,457,065",Roger Federer,Daniel Nestor Edouard Roger-Vasselin,,https://www.atptour.com/en/scores/archive/cincinnati/422/2015/results
2015,Winston-Salem,"Winston-Salem, United States",2015.08.23,48,16,Outdoor Hard,"$695,515",Kevin Anderson,Dominic Inglot Robert Lindstedt,,https://www.atptour.com/en/scores/archive/winston-salem/6242/2015/results
2015,US Open,"New York, United States",2015.08.31,128,64,Outdoor Hard,"$19,852,700",Novak Djokovic,Pierre-Hugues Herbert Nicolas Mahut,,https://www.atptour.com/en/scores/archive/us-open/560/2015/results
2015,St. Petersburg,"St. Petersburg, Russia",2015.09.21,28,16,Indoor Hard,"$1,091,000",Milos Raonic,Treat Huey Henri Kontinen,,https://www.atptour.com/en/scores/archive/st-petersburg/568/2015/results
2015,Metz,"Metz, France",2015.09.21,28,16,Indoor Hard,"€494,310",Jo-Wilfried Tsonga,Lukasz Kubot Edouard Roger-Vasselin,,https://www.atptour.com/en/scores/archive/metz/341/2015/results
2015,Kuala Lumpur,"Kuala Lumpur, Malaysia",2015.09.28,28,16,Indoor Hard,"$1,041,540",David Ferrer,Treat Huey Henri Kontinen,,https://www.atptour.com/en/scores/archive/kuala-lumpur/6003/2015/results
2015,Shenzhen,"Shenzhen, China",2015.09.28,28,16,Outdoor Hard,"$668,945",Tomas Berdych,Jonathan Erlich Colin Fleming,,https://www.atptour.com/en/scores/archive/shenzhen/6967/2015/results
2015,Beijing,"Beijing, China",2015.10.05,32,16,Outdoor Hard,"$3,944,715",Novak Djokovic,Vasek Pospisil Jack Sock,,https://www.atptour.com/en/scores/archive/beijing/747/2015/results
2015,Tokyo,"Tokyo, Japan",2015.10.05,32,16,Outdoor Hard,"$1,397,250",Stan Wawrinka,Raven Klaasen Marcelo Melo,,https://www.atptour.com/en/scores/archive/tokyo/329/2015/results
2015,ATP Masters 1000 Shanghai,"Shanghai, China",2015.10.11,56,24,Outdoor Hard,"$7,021,335",Novak Djokovic,Raven Klaasen Marcelo Melo,,https://www.atptour.com/en/scores/archive/shanghai/5014/2015/results
2015,Vienna,"Vienna, Austria",2015.10.19,32,16,Indoor Hard,"€2,324,045",David Ferrer,Lukasz Kubot Marcelo Melo,,https://www.atptour.com/en/scores/archive/vienna/337/2015/results
2015,Moscow,"Moscow, Russia",2015.10.19,28,16,Indoor Hard,"$771,525",Marin Cilic,Andrey Rublev Dmitry Tursunov,,https://www.atptour.com/en/scores/archive/moscow/438/2015/results
2015,Stockholm,"Stockholm, Sweden",2015.10.19,28,16,Indoor Hard,"€604,155",Tomas Berdych,Nicholas Monroe Jack Sock,,https://www.atptour.com/en/scores/archive/stockholm/429/2015/results
2015,Basel,"Basel, Switzerland",2015.10.26,32,16,Indoor Hard,"€2,022,300",Roger Federer,Alexander Peya Bruno Soares,,https://www.atptour.com/en/scores/archive/basel/328/2015/results
2015,Valencia,"Valencia, Spain",2015.10.26,28,16,Indoor Hard,"€604,155",Joao Sousa,Eric Butorac Scott Lipsky,,https://www.atptour.com/en/scores/archive/valencia/573/2015/results
2015,ATP Masters 1000 Paris,"Paris, France",2015.11.02,48,24,Indoor Hard,"€3,830,295",Novak Djokovic,Ivan Dodig Marcelo Melo,,https://www.atptour.com/en/scores/archive/paris/352/2015/results
2015,ATP Finals,"London, Great Britain",2015.11.15,8,8,Indoor Hard,"$7,000,000",Novak Djokovic,Jean-Julien Rojer Horia Tecau,,https://www.atptour.com/en/scores/archive/atp-finals/605/2015/results
