Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team,Tournament url
2015,Brisbane,"Brisbane, Australia",2015.01.04,28,16,Outdoor Hard,"$494,310",Roger Federer,Jamie Murray John Peers,,https://www.atptour.com/en/scores/archive/brisbane/339/2015/results
2015,Doha,"Doha, Qatar",2015.01.05,32,16,Outdoor Hard,"$1,221,320",David Ferrer,Juan Monaco Rafael Nadal,,https://www.atptour.com/en/scores/archive/doha/451/2015/results
2015,Chennai,"Chennai, India",2015.01.05,28,16,Outdoor Hard,"$458,400",Stan Wawrinka,Yen-Hsun Lu Jonathan Marray,,https://www.atptour.com/en/scores/archive/chennai/891/2015/results
2015,Sydney,"Sydney, Australia",2015.01.11,28,16,Outdoor Hard,"$494,310",Viktor Troicki,Rohan Bopanna Daniel Nestor,,https://www.atptour.com/en/scores/archive/sydney/338/2015/results
2015,Auckland,"Auckland, New Zealand",2015.01.12,28,16,Outdoor Hard,"$519,395",Jiri Vesely,Raven Klaasen Leander Paes,,https://www.atptour.com/en/scores/archive/auckland/301/2015/results
2015,Australian Open,"Melbourne, Australia",2015.01.19,128,64,Outdoor Hard,"A$17,748,600",Novak Djokovic,Simone Bolelli Fabio Fognini,,https://www.atptour.com/en/scores/archive/australian-open/580/2015/results
2015,Montpellier,"Montpellier, France",2015.02.02,28,16,Indoor Hard,"€494,310",Richard Gasquet,Marcus Daniell Artem Sitak,,https://www.atptour.com/en/scores/archive/montpellier/375/2015/results
2015,Quito,"Quito, Ecuador",2015.02.02,28,16,Outdoor Clay,"$494,310",Victor Estrella Burgos,Gero Kretschmer Alexander Satschko,,https://www.atptour.com/en/scores/archive/quito/7161/2015/results
2015,Zagreb,"Zagreb, Croatia",2015.02.02,28,16,Indoor Hard,"€494,310",Guillermo Garcia-Lopez,Marin Draganja Henri Kontinen,,https://www.atptour.com/en/scores/archive/zagreb/2276/2015/results
2015,Rotterdam,"Rotterdam, Netherlands",2015.02.09,32,16,Indoor Hard,"€1,600,855",Stan Wawrinka,Jean-Julien Rojer Horia Tecau,,https://www.atptour.com/en/scores/archive/rotterdam/407/2015/results
2015,Memphis,"Memphis, United States",2015.02.09,28,16,Indoor Hard,"$659,070",Kei Nishikori,Mariusz Fyrstenberg Santiago Gonzalez,,https://www.atptour.com/en/scores/archive/memphis/424/2015/results
2015,Sao Paulo,"Sao Paulo, Brazil",2015.02.09,28,16,Indoor Clay,"$505,655",Pablo Cuevas,Juan Sebastian Cabal Robert Farah,,https://www.atptour.com/en/scores/archive/sao-paulo/533/2015/results
2015,Rio de Janeiro,"Rio de Janeiro, Brazil",2015.02.16,32,16,Outdoor Clay,"$1,548,755",David Ferrer,Martin Klizan Philipp Oswald,,https://www.atptour.com/en/scores/archive/rio-de-janeiro/6932/2015/results
2015,Marseille,"Marseille, France",2015.02.16,28,16,Indoor Hard,"€632,840",Gilles Simon,Marin Draganja Henri Kontinen,,https://www.atptour.com/en/scores/archive/marseille/496/2015/results
2015,Delray Beach,"Delray Beach, United States",2015.02.16,32,16,Outdoor Hard,"$549,230",Ivo Karlovic,Bob Bryan Mike Bryan,,https://www.atptour.com/en/scores/archive/delray-beach/499/2015/results
2015,Dubai,"Dubai, United Arab Emirates",2015.02.23,32,16,Outdoor Hard,"$2,503,810",Roger Federer,Rohan Bopanna Daniel Nestor,,https://www.atptour.com/en/scores/archive/dubai/495/2015/results
2015,Acapulco,"Acapulco, Mexico",2015.02.23,32,16,Outdoor Hard,"$1,548,755",David Ferrer,Ivan Dodig Marcelo Melo,,https://www.atptour.com/en/scores/archive/acapulco/807/2015/results
2015,Buenos Aires,"Buenos Aires, Argentina",2015.02.23,28,16,Outdoor Clay,"$573,750",Rafael Nadal,Jarkko Nieminen Andre Sa,,https://www.atptour.com/en/scores/archive/buenos-aires/506/2015/results
2015,ATP Masters 1000 Indian Wells,"Indian Wells, United States",2015.03.12,96,32,Outdoor Hard,"$7,107,445",Novak Djokovic,Vasek Pospisil Jack Sock,,https://www.atptour.com/en/scores/archive/indian-wells/404/2015/results
2015,ATP Masters 1000 Miami,"Miami, United States",2015.03.25,96,32,Outdoor Hard,"$6,267,755",Novak Djokovic,Bob Bryan Mike Bryan,,https://www.atptour.com/en/scores/archive/miami/403/2015/results
2015,Houston,"Houston, United States",2015.04.06,28,16,Outdoor Clay,"$549,230",Jack Sock,Ricardas Berankis Teymuraz Gabashvili,,https://www.atptour.com/en/scores/archive/houston/717/2015/results
2015,Casablanca,"Casablanca, Morocco",2015.04.06,28,16,Outdoor Clay,"€494,310",Martin Klizan,Rameez Junaid Adil Shamasdin,,https://www.atptour.com/en/scores/archive/casablanca/360/2015/results
2015,ATP Masters 1000 Monte Carlo,"Monte-Carlo, Monaco",2015.04.12,56,24,Outdoor Clay,"€3,624,045",Novak Djokovic,Bob Bryan Mike Bryan,,https://www.atptour.com/en/scores/archive/monte-carlo/410/2015/results
2015,Barcelona,"Barcelona, Spain",2015.04.20,48,16,Outdoor Clay,"€2,265,235",Kei Nishikori,Marin Draganja Henri Kontinen,,https://www.atptour.com/en/scores/archive/barcelona/425/2015/results
2015,Bucharest,"Bucharest, Romania",2015.04.20,28,16,Outdoor Clay,"€494,310",Guillermo Garcia-Lopez,Marius Copil Adrian Ungur,,https://www.atptour.com/en/scores/archive/bucharest/773/2015/results
2015,Estoril,"Estoril, Portugal",2015.04.27,28,16,Outdoor Clay,"€494,310",Richard Gasquet,Treat Huey Scott Lipsky,,https://www.atptour.com/en/scores/archive/estoril/7290/2015/results
2015,Istanbul,"Istanbul, Turkey",2015.04.27,28,16,Outdoor Clay,"€494,310",Roger Federer,Radu Albot Dusan Lajovic,,https://www.atptour.com/en/scores/archive/istanbul/7163/2015/results
2015,Munich,"Munich, Germany",2015.04.27,28,16,Outdoor Clay,"€494,310",Andy Murray,Alexander Peya Bruno Soares,,https://www.atptour.com/en/scores/archive/munich/308/2015/results
2015,ATP Masters 1000 Madrid,"Madrid, Spain",2015.05.03,56,24,Outdoor Clay,"€5,113,730",Andy Murray,Rohan Bopanna Florin Mergea,,https://www.atptour.com/en/scores/archive/madrid/1536/2015/results
2015,ATP Masters 1000 Rome,"Rome, Italy",2015.05.10,56,24,Outdoor Clay,"€3,830,295",Novak Djokovic,Pablo Cuevas David Marrero,,https://www.atptour.com/en/scores/archive/rome/416/2015/results
2015,Geneva,"Geneva, Switzerland",2015.05.17,28,16,Outdoor Clay,"€494,310",Thomaz Bellucci,Juan Sebastian Cabal Robert Farah,,https://www.atptour.com/en/scores/archive/geneva/322/2015/results
2015,Nice,"Nice, France",2015.05.17,28,16,Outdoor Clay,"€494,310",Dominic Thiem,Mate Pavic Michael Venus,,https://www.atptour.com/en/scores/archive/nice/6120/2015/results
2015,Roland Garros,"Paris, France",2015.05.24,128,64,Outdoor Clay,"€13,008,000",Stan Wawrinka,Ivan Dodig Marcelo Melo,,https://www.atptour.com/en/scores/archive/roland-garros/520/2015/results
